Model_family,Model_name,Extraction_name,Focal Metric,Control1,Control2,Ethnicity Control,Effect,Effect1,Effect 2,Parameter1,Parameter1_index,Parameter2,Parameter2_index,Comparison_type
Model1,m1_SitHeight,m1_SitHeight___RunM.RunF,SitHeight,,,N,RunM.RunF,RunM,RunF,b,2,b,1,difference
Model1,m1_SitHeight.Eth,m1_SitHeight.Eth___RunM.RunF,SitHeight,,,Y,RunM.RunF,RunM,RunF,b,2,b,1,difference
Model1,m1_SitHeight.Stature,m1_SitHeight.Stature___RunM.RunF,SitHeight,Stature,,N,RunM.RunF,RunM,RunF,b,2,b,1,difference
Model1,m1_SitHeight.Stature.Eth,m1_SitHeight.Stature.Eth___RunM.RunF,SitHeight,Stature,,Y,RunM.RunF,RunM,RunF,b,2,b,1,difference
Model1,m1_SitHeight,m1_SitHeight___ClimbM.ClimbF,SitHeight,,,N,ClimbM.ClimbF,ClimbM,ClimbF,b,4,b,3,difference
Model1,m1_SitHeight.Eth,m1_SitHeight.Eth___ClimbM.ClimbF,SitHeight,,,Y,ClimbM.ClimbF,ClimbM,ClimbF,b,4,b,3,difference
Model1,m1_SitHeight.Stature,m1_SitHeight.Stature___ClimbM.ClimbF,SitHeight,Stature,,N,ClimbM.ClimbF,ClimbM,ClimbF,b,4,b,3,difference
Model1,m1_SitHeight.Stature.Eth,m1_SitHeight.Stature.Eth___ClimbM.ClimbF,SitHeight,Stature,,Y,ClimbM.ClimbF,ClimbM,ClimbF,b,4,b,3,difference
Model1,m1_SitHeight,m1_SitHeight___ClimbM.RunM,SitHeight,,,N,ClimbM.RunM,ClimbM,RunM,b,4,b,2,difference
Model1,m1_SitHeight.Eth,m1_SitHeight.Eth___ClimbM.RunM,SitHeight,,,Y,ClimbM.RunM,ClimbM,RunM,b,4,b,2,difference
Model1,m1_SitHeight.Stature,m1_SitHeight.Stature___ClimbM.RunM,SitHeight,Stature,,N,ClimbM.RunM,ClimbM,RunM,b,4,b,2,difference
Model1,m1_SitHeight.Stature.Eth,m1_SitHeight.Stature.Eth___ClimbM.RunM,SitHeight,Stature,,Y,ClimbM.RunM,ClimbM,RunM,b,4,b,2,difference
Model1,m1_SitHeight,m1_SitHeight___ClimbF.RunF,SitHeight,,,N,ClimbF.RunF,ClimbF,RunF,b,3,b,1,difference
Model1,m1_SitHeight.Eth,m1_SitHeight.Eth___ClimbF.RunF,SitHeight,,,Y,ClimbF.RunF,ClimbF,RunF,b,3,b,1,difference
Model1,m1_SitHeight.Stature,m1_SitHeight.Stature___ClimbF.RunF,SitHeight,Stature,,N,ClimbF.RunF,ClimbF,RunF,b,3,b,1,difference
Model1,m1_SitHeight.Stature.Eth,m1_SitHeight.Stature.Eth___ClimbF.RunF,SitHeight,Stature,,Y,ClimbF.RunF,ClimbF,RunF,b,3,b,1,difference
Model1,m1_ArmSpan,m1_ArmSpan___RunM,ArmSpan,,,N,RunM,RunM,,b,2,,,single
Model1,m1_ArmSpan.Eth,m1_ArmSpan.Eth___RunM,ArmSpan,,,Y,RunM,RunM,,b,2,,,single
Model1,m1_ArmSpan.Stature,m1_ArmSpan.Stature___RunM,ArmSpan,Stature,,N,RunM,RunM,,b,2,,,single
Model1,m1_ArmSpan.Stature.Eth,m1_ArmSpan.Stature.Eth___RunM,ArmSpan,Stature,,Y,RunM,RunM,,b,2,,,single
Model1,m1_ArmSpan,m1_ArmSpan___ClimbM,ArmSpan,,,N,ClimbM,ClimbM,,b,4,,,single
Model1,m1_ArmSpan.Eth,m1_ArmSpan.Eth___ClimbM,ArmSpan,,,Y,ClimbM,ClimbM,,b,4,,,single
Model1,m1_ArmSpan.Stature,m1_ArmSpan.Stature___ClimbM,ArmSpan,Stature,,N,ClimbM,ClimbM,,b,4,,,single
Model1,m1_ArmSpan.Stature.Eth,m1_ArmSpan.Stature.Eth___ClimbM,ArmSpan,Stature,,Y,ClimbM,ClimbM,,b,4,,,single
Model1,m1_ArmSpan,m1_ArmSpan___RunF,ArmSpan,,,N,RunF,RunF,,b,1,,,single
Model1,m1_ArmSpan.Eth,m1_ArmSpan.Eth___RunF,ArmSpan,,,Y,RunF,RunF,,b,1,,,single
Model1,m1_ArmSpan.Stature,m1_ArmSpan.Stature___RunF,ArmSpan,Stature,,N,RunF,RunF,,b,1,,,single
Model1,m1_ArmSpan.Stature.Eth,m1_ArmSpan.Stature.Eth___RunF,ArmSpan,Stature,,Y,RunF,RunF,,b,1,,,single
Model1,m1_ArmSpan,m1_ArmSpan___ClimbF,ArmSpan,,,N,ClimbF,ClimbF,,b,3,,,single
Model1,m1_ArmSpan.Eth,m1_ArmSpan.Eth___ClimbF,ArmSpan,,,Y,ClimbF,ClimbF,,b,3,,,single
Model1,m1_ArmSpan.Stature,m1_ArmSpan.Stature___ClimbF,ArmSpan,Stature,,N,ClimbF,ClimbF,,b,3,,,single
Model1,m1_ArmSpan.Stature.Eth,m1_ArmSpan.Stature.Eth___ClimbF,ArmSpan,Stature,,Y,ClimbF,ClimbF,,b,3,,,single
Model1,m1_ArmSpan,m1_ArmSpan___RunM.RunF,ArmSpan,,,N,RunM.RunF,RunM,RunF,b,2,b,1,difference
Model1,m1_ArmSpan.Eth,m1_ArmSpan.Eth___RunM.RunF,ArmSpan,,,Y,RunM.RunF,RunM,RunF,b,2,b,1,difference
Model1,m1_ArmSpan.Stature,m1_ArmSpan.Stature___RunM.RunF,ArmSpan,Stature,,N,RunM.RunF,RunM,RunF,b,2,b,1,difference
Model1,m1_ArmSpan.Stature.Eth,m1_ArmSpan.Stature.Eth___RunM.RunF,ArmSpan,Stature,,Y,RunM.RunF,RunM,RunF,b,2,b,1,difference
Model1,m1_ArmSpan,m1_ArmSpan___ClimbM.ClimbF,ArmSpan,,,N,ClimbM.ClimbF,ClimbM,ClimbF,b,4,b,3,difference
Model1,m1_ArmSpan.Eth,m1_ArmSpan.Eth___ClimbM.ClimbF,ArmSpan,,,Y,ClimbM.ClimbF,ClimbM,ClimbF,b,4,b,3,difference
Model1,m1_ArmSpan.Stature,m1_ArmSpan.Stature___ClimbM.ClimbF,ArmSpan,Stature,,N,ClimbM.ClimbF,ClimbM,ClimbF,b,4,b,3,difference
Model1,m1_ArmSpan.Stature.Eth,m1_ArmSpan.Stature.Eth___ClimbM.ClimbF,ArmSpan,Stature,,Y,ClimbM.ClimbF,ClimbM,ClimbF,b,4,b,3,difference
Model1,m1_ArmSpan,m1_ArmSpan___ClimbM.RunM,ArmSpan,,,N,ClimbM.RunM,ClimbM,RunM,b,4,b,2,difference
Model1,m1_ArmSpan.Eth,m1_ArmSpan.Eth___ClimbM.RunM,ArmSpan,,,Y,ClimbM.RunM,ClimbM,RunM,b,4,b,2,difference
Model1,m1_ArmSpan.Stature,m1_ArmSpan.Stature___ClimbM.RunM,ArmSpan,Stature,,N,ClimbM.RunM,ClimbM,RunM,b,4,b,2,difference
Model1,m1_ArmSpan.Stature.Eth,m1_ArmSpan.Stature.Eth___ClimbM.RunM,ArmSpan,Stature,,Y,ClimbM.RunM,ClimbM,RunM,b,4,b,2,difference
Model1,m1_ArmSpan,m1_ArmSpan___ClimbF.RunF,ArmSpan,,,N,ClimbF.RunF,ClimbF,RunF,b,3,b,1,difference
Model1,m1_ArmSpan.Eth,m1_ArmSpan.Eth___ClimbF.RunF,ArmSpan,,,Y,ClimbF.RunF,ClimbF,RunF,b,3,b,1,difference
Model1,m1_ArmSpan.Stature,m1_ArmSpan.Stature___ClimbF.RunF,ArmSpan,Stature,,N,ClimbF.RunF,ClimbF,RunF,b,3,b,1,difference
Model1,m1_ArmSpan.Stature.Eth,m1_ArmSpan.Stature.Eth___ClimbF.RunF,ArmSpan,Stature,,Y,ClimbF.RunF,ClimbF,RunF,b,3,b,1,difference
Model1,m1_Leg,m1_Leg___RunM,Leg,,,N,RunM,RunM,,b,2,,,single
Model1,m1_Leg.Eth,m1_Leg.Eth___RunM,Leg,,,Y,RunM,RunM,,b,2,,,single
Model1,m1_Leg.Stature,m1_Leg.Stature___RunM,Leg,Stature,,N,RunM,RunM,,b,2,,,single
Model1,m1_Leg.Stature.Eth,m1_Leg.Stature.Eth___RunM,Leg,Stature,,Y,RunM,RunM,,b,2,,,single
Model1,m1_Leg,m1_Leg___ClimbM,Leg,,,N,ClimbM,ClimbM,,b,4,,,single
Model1,m1_Leg.Eth,m1_Leg.Eth___ClimbM,Leg,,,Y,ClimbM,ClimbM,,b,4,,,single
Model1,m1_Leg.Stature,m1_Leg.Stature___ClimbM,Leg,Stature,,N,ClimbM,ClimbM,,b,4,,,single
Model1,m1_Leg.Stature.Eth,m1_Leg.Stature.Eth___ClimbM,Leg,Stature,,Y,ClimbM,ClimbM,,b,4,,,single
Model1,m1_Leg,m1_Leg___RunF,Leg,,,N,RunF,RunF,,b,1,,,single
Model1,m1_Leg.Eth,m1_Leg.Eth___RunF,Leg,,,Y,RunF,RunF,,b,1,,,single
Model1,m1_Leg.Stature,m1_Leg.Stature___RunF,Leg,Stature,,N,RunF,RunF,,b,1,,,single
Model1,m1_Leg.Stature.Eth,m1_Leg.Stature.Eth___RunF,Leg,Stature,,Y,RunF,RunF,,b,1,,,single
Model1,m1_Leg,m1_Leg___ClimbF,Leg,,,N,ClimbF,ClimbF,,b,3,,,single
Model1,m1_Leg.Eth,m1_Leg.Eth___ClimbF,Leg,,,Y,ClimbF,ClimbF,,b,3,,,single
Model1,m1_Leg.Stature,m1_Leg.Stature___ClimbF,Leg,Stature,,N,ClimbF,ClimbF,,b,3,,,single
Model1,m1_Leg.Stature.Eth,m1_Leg.Stature.Eth___ClimbF,Leg,Stature,,Y,ClimbF,ClimbF,,b,3,,,single
Model1,m1_Leg,m1_Leg___RunM.RunF,Leg,,,N,RunM.RunF,RunM,RunF,b,2,b,1,difference
Model1,m1_Leg.Eth,m1_Leg.Eth___RunM.RunF,Leg,,,Y,RunM.RunF,RunM,RunF,b,2,b,1,difference
Model1,m1_Leg.Stature,m1_Leg.Stature___RunM.RunF,Leg,Stature,,N,RunM.RunF,RunM,RunF,b,2,b,1,difference
Model1,m1_Leg.Stature.Eth,m1_Leg.Stature.Eth___RunM.RunF,Leg,Stature,,Y,RunM.RunF,RunM,RunF,b,2,b,1,difference
Model1,m1_Leg,m1_Leg___ClimbM.ClimbF,Leg,,,N,ClimbM.ClimbF,ClimbM,ClimbF,b,4,b,3,difference
Model1,m1_Leg.Eth,m1_Leg.Eth___ClimbM.ClimbF,Leg,,,Y,ClimbM.ClimbF,ClimbM,ClimbF,b,4,b,3,difference
Model1,m1_Leg.Stature,m1_Leg.Stature___ClimbM.ClimbF,Leg,Stature,,N,ClimbM.ClimbF,ClimbM,ClimbF,b,4,b,3,difference
Model1,m1_Leg.Stature.Eth,m1_Leg.Stature.Eth___ClimbM.ClimbF,Leg,Stature,,Y,ClimbM.ClimbF,ClimbM,ClimbF,b,4,b,3,difference
Model1,m1_Leg,m1_Leg___ClimbM.RunM,Leg,,,N,ClimbM.RunM,ClimbM,RunM,b,4,b,2,difference
Model1,m1_Leg.Eth,m1_Leg.Eth___ClimbM.RunM,Leg,,,Y,ClimbM.RunM,ClimbM,RunM,b,4,b,2,difference
Model1,m1_Leg.Stature,m1_Leg.Stature___ClimbM.RunM,Leg,Stature,,N,ClimbM.RunM,ClimbM,RunM,b,4,b,2,difference
Model1,m1_Leg.Stature.Eth,m1_Leg.Stature.Eth___ClimbM.RunM,Leg,Stature,,Y,ClimbM.RunM,ClimbM,RunM,b,4,b,2,difference
Model1,m1_Leg,m1_Leg___ClimbF.RunF,Leg,,,N,ClimbF.RunF,ClimbF,RunF,b,3,b,1,difference
Model1,m1_Leg.Eth,m1_Leg.Eth___ClimbF.RunF,Leg,,,Y,ClimbF.RunF,ClimbF,RunF,b,3,b,1,difference
Model1,m1_Leg.Stature,m1_Leg.Stature___ClimbF.RunF,Leg,Stature,,N,ClimbF.RunF,ClimbF,RunF,b,3,b,1,difference
Model1,m1_Leg.Stature.Eth,m1_Leg.Stature.Eth___ClimbF.RunF,Leg,Stature,,Y,ClimbF.RunF,ClimbF,RunF,b,3,b,1,difference
Model1,m1_Femur,m1_Femur___RunM,Femur,,,N,RunM,RunM,,b,2,,,single
Model1,m1_Femur.Eth,m1_Femur.Eth___RunM,Femur,,,Y,RunM,RunM,,b,2,,,single
Model1,m1_Femur.Stature,m1_Femur.Stature___RunM,Femur,Stature,,N,RunM,RunM,,b,2,,,single
Model1,m1_Femur.Stature.Eth,m1_Femur.Stature.Eth___RunM,Femur,Stature,,Y,RunM,RunM,,b,2,,,single
Model1,m1_Femur,m1_Femur___ClimbM,Femur,,,N,ClimbM,ClimbM,,b,4,,,single
Model1,m1_Femur.Eth,m1_Femur.Eth___ClimbM,Femur,,,Y,ClimbM,ClimbM,,b,4,,,single
Model1,m1_Femur.Stature,m1_Femur.Stature___ClimbM,Femur,Stature,,N,ClimbM,ClimbM,,b,4,,,single
Model1,m1_Femur.Stature.Eth,m1_Femur.Stature.Eth___ClimbM,Femur,Stature,,Y,ClimbM,ClimbM,,b,4,,,single
Model1,m1_Femur,m1_Femur___RunF,Femur,,,N,RunF,RunF,,b,1,,,single
Model1,m1_Femur.Eth,m1_Femur.Eth___RunF,Femur,,,Y,RunF,RunF,,b,1,,,single
Model1,m1_Femur.Stature,m1_Femur.Stature___RunF,Femur,Stature,,N,RunF,RunF,,b,1,,,single
Model1,m1_Femur.Stature.Eth,m1_Femur.Stature.Eth___RunF,Femur,Stature,,Y,RunF,RunF,,b,1,,,single
Model1,m1_Femur,m1_Femur___ClimbF,Femur,,,N,ClimbF,ClimbF,,b,3,,,single
Model1,m1_Femur.Eth,m1_Femur.Eth___ClimbF,Femur,,,Y,ClimbF,ClimbF,,b,3,,,single
Model1,m1_Femur.Stature,m1_Femur.Stature___ClimbF,Femur,Stature,,N,ClimbF,ClimbF,,b,3,,,single
Model1,m1_Femur.Stature.Eth,m1_Femur.Stature.Eth___ClimbF,Femur,Stature,,Y,ClimbF,ClimbF,,b,3,,,single
Model1,m1_Femur,m1_Femur___RunM.RunF,Femur,,,N,RunM.RunF,RunM,RunF,b,2,b,1,difference
Model1,m1_Femur.Eth,m1_Femur.Eth___RunM.RunF,Femur,,,Y,RunM.RunF,RunM,RunF,b,2,b,1,difference
Model1,m1_Femur.Stature,m1_Femur.Stature___RunM.RunF,Femur,Stature,,N,RunM.RunF,RunM,RunF,b,2,b,1,difference
Model1,m1_Femur.Stature.Eth,m1_Femur.Stature.Eth___RunM.RunF,Femur,Stature,,Y,RunM.RunF,RunM,RunF,b,2,b,1,difference
Model1,m1_Femur,m1_Femur___ClimbM.ClimbF,Femur,,,N,ClimbM.ClimbF,ClimbM,ClimbF,b,4,b,3,difference
Model1,m1_Femur.Eth,m1_Femur.Eth___ClimbM.ClimbF,Femur,,,Y,ClimbM.ClimbF,ClimbM,ClimbF,b,4,b,3,difference
Model1,m1_Femur.Stature,m1_Femur.Stature___ClimbM.ClimbF,Femur,Stature,,N,ClimbM.ClimbF,ClimbM,ClimbF,b,4,b,3,difference
Model1,m1_Femur.Stature.Eth,m1_Femur.Stature.Eth___ClimbM.ClimbF,Femur,Stature,,Y,ClimbM.ClimbF,ClimbM,ClimbF,b,4,b,3,difference
Model1,m1_Femur,m1_Femur___ClimbM.RunM,Femur,,,N,ClimbM.RunM,ClimbM,RunM,b,4,b,2,difference
Model1,m1_Femur.Eth,m1_Femur.Eth___ClimbM.RunM,Femur,,,Y,ClimbM.RunM,ClimbM,RunM,b,4,b,2,difference
Model1,m1_Femur.Stature,m1_Femur.Stature___ClimbM.RunM,Femur,Stature,,N,ClimbM.RunM,ClimbM,RunM,b,4,b,2,difference
Model1,m1_Femur.Stature.Eth,m1_Femur.Stature.Eth___ClimbM.RunM,Femur,Stature,,Y,ClimbM.RunM,ClimbM,RunM,b,4,b,2,difference
Model1,m1_Femur,m1_Femur___ClimbF.RunF,Femur,,,N,ClimbF.RunF,ClimbF,RunF,b,3,b,1,difference
Model1,m1_Femur.Eth,m1_Femur.Eth___ClimbF.RunF,Femur,,,Y,ClimbF.RunF,ClimbF,RunF,b,3,b,1,difference
Model1,m1_Femur.Stature,m1_Femur.Stature___ClimbF.RunF,Femur,Stature,,N,ClimbF.RunF,ClimbF,RunF,b,3,b,1,difference
Model1,m1_Femur.Stature.Eth,m1_Femur.Stature.Eth___ClimbF.RunF,Femur,Stature,,Y,ClimbF.RunF,ClimbF,RunF,b,3,b,1,difference
Model1,m1_Tibia,m1_Tibia___RunM,Tibia,,,N,RunM,RunM,,b,2,,,single
Model1,m1_Tibia.Eth,m1_Tibia.Eth___RunM,Tibia,,,Y,RunM,RunM,,b,2,,,single
Model1,m1_Tibia.Stature,m1_Tibia.Stature___RunM,Tibia,Stature,,N,RunM,RunM,,b,2,,,single
Model1,m1_Tibia.Stature.Eth,m1_Tibia.Stature.Eth___RunM,Tibia,Stature,,Y,RunM,RunM,,b,2,,,single
Model1,m1_Tibia.Femur,m1_Tibia.Femur___RunM,Tibia,Femur,,N,RunM,RunM,,b,2,,,single
Model1,m1_Tibia.Femur.Eth,m1_Tibia.Femur.Eth___RunM,Tibia,Femur,,Y,RunM,RunM,,b,2,,,single
Model1,m1_Tibia,m1_Tibia___ClimbM,Tibia,,,N,ClimbM,ClimbM,,b,4,,,single
Model1,m1_Tibia.Eth,m1_Tibia.Eth___ClimbM,Tibia,,,Y,ClimbM,ClimbM,,b,4,,,single
Model1,m1_Tibia.Stature,m1_Tibia.Stature___ClimbM,Tibia,Stature,,N,ClimbM,ClimbM,,b,4,,,single
Model1,m1_Tibia.Stature.Eth,m1_Tibia.Stature.Eth___ClimbM,Tibia,Stature,,Y,ClimbM,ClimbM,,b,4,,,single
Model1,m1_Tibia.Femur,m1_Tibia.Femur___ClimbM,Tibia,Femur,,N,ClimbM,ClimbM,,b,4,,,single
Model1,m1_Tibia.Femur.Eth,m1_Tibia.Femur.Eth___ClimbM,Tibia,Femur,,Y,ClimbM,ClimbM,,b,4,,,single
Model1,m1_Tibia,m1_Tibia___RunF,Tibia,,,N,RunF,RunF,,b,1,,,single
Model1,m1_Tibia.Eth,m1_Tibia.Eth___RunF,Tibia,,,Y,RunF,RunF,,b,1,,,single
Model1,m1_Tibia.Stature,m1_Tibia.Stature___RunF,Tibia,Stature,,N,RunF,RunF,,b,1,,,single
Model1,m1_Tibia.Stature.Eth,m1_Tibia.Stature.Eth___RunF,Tibia,Stature,,Y,RunF,RunF,,b,1,,,single
Model1,m1_Tibia.Femur,m1_Tibia.Femur___RunF,Tibia,Femur,,N,RunF,RunF,,b,1,,,single
Model1,m1_Tibia.Femur.Eth,m1_Tibia.Femur.Eth___RunF,Tibia,Femur,,Y,RunF,RunF,,b,1,,,single
Model1,m1_Tibia,m1_Tibia___ClimbF,Tibia,,,N,ClimbF,ClimbF,,b,3,,,single
Model1,m1_Tibia.Eth,m1_Tibia.Eth___ClimbF,Tibia,,,Y,ClimbF,ClimbF,,b,3,,,single
Model1,m1_Tibia.Stature,m1_Tibia.Stature___ClimbF,Tibia,Stature,,N,ClimbF,ClimbF,,b,3,,,single
Model1,m1_Tibia.Stature.Eth,m1_Tibia.Stature.Eth___ClimbF,Tibia,Stature,,Y,ClimbF,ClimbF,,b,3,,,single
Model1,m1_Tibia.Femur,m1_Tibia.Femur___ClimbF,Tibia,Femur,,N,ClimbF,ClimbF,,b,3,,,single
Model1,m1_Tibia.Femur.Eth,m1_Tibia.Femur.Eth___ClimbF,Tibia,Femur,,Y,ClimbF,ClimbF,,b,3,,,single
Model1,m1_Tibia,m1_Tibia___RunM.RunF,Tibia,,,N,RunM.RunF,RunM,RunF,b,2,b,1,difference
Model1,m1_Tibia.Eth,m1_Tibia.Eth___RunM.RunF,Tibia,,,Y,RunM.RunF,RunM,RunF,b,2,b,1,difference
Model1,m1_Tibia.Stature,m1_Tibia.Stature___RunM.RunF,Tibia,Stature,,N,RunM.RunF,RunM,RunF,b,2,b,1,difference
Model1,m1_Tibia.Stature.Eth,m1_Tibia.Stature.Eth___RunM.RunF,Tibia,Stature,,Y,RunM.RunF,RunM,RunF,b,2,b,1,difference
Model1,m1_Tibia.Femur,m1_Tibia.Femur___RunM.RunF,Tibia,Femur,,N,RunM.RunF,RunM,RunF,b,2,b,1,difference
Model1,m1_Tibia.Femur.Eth,m1_Tibia.Femur.Eth___RunM.RunF,Tibia,Femur,,Y,RunM.RunF,RunM,RunF,b,2,b,1,difference
Model1,m1_Tibia,m1_Tibia___ClimbM.ClimbF,Tibia,,,N,ClimbM.ClimbF,ClimbM,ClimbF,b,4,b,3,difference
Model1,m1_Tibia.Eth,m1_Tibia.Eth___ClimbM.ClimbF,Tibia,,,Y,ClimbM.ClimbF,ClimbM,ClimbF,b,4,b,3,difference
Model1,m1_Tibia.Stature,m1_Tibia.Stature___ClimbM.ClimbF,Tibia,Stature,,N,ClimbM.ClimbF,ClimbM,ClimbF,b,4,b,3,difference
Model1,m1_Tibia.Stature.Eth,m1_Tibia.Stature.Eth___ClimbM.ClimbF,Tibia,Stature,,Y,ClimbM.ClimbF,ClimbM,ClimbF,b,4,b,3,difference
Model1,m1_Tibia.Femur,m1_Tibia.Femur___ClimbM.ClimbF,Tibia,Femur,,N,ClimbM.ClimbF,ClimbM,ClimbF,b,4,b,3,difference
Model1,m1_Tibia.Femur.Eth,m1_Tibia.Femur.Eth___ClimbM.ClimbF,Tibia,Femur,,Y,ClimbM.ClimbF,ClimbM,ClimbF,b,4,b,3,difference
