Model_family,Model_name,Extraction_name,Focal Metric,Control1,Control2,Ethnicity Control,Effect,Effect1,Effect 2,Parameter1,Parameter1_index,Parameter2,Parameter2_index,Comparison_type
Model1,m1_PC1,m1_PC1___RunM,PC1,,,N,RunM,RunM,,b,2,,,single
Model1,m1_PC1.Eth,m1_PC1.Eth___RunM,PC1,,,Y,RunM,RunM,,b,2,,,single
Model1,m1_PC1,m1_PC1___ClimbM,PC1,,,N,ClimbM,ClimbM,,b,4,,,single
Model1,m1_PC1.Eth,m1_PC1.Eth___ClimbM,PC1,,,Y,ClimbM,ClimbM,,b,4,,,single
Model1,m1_PC1,m1_PC1___RunF,PC1,,,N,RunF,RunF,,b,1,,,single
Model1,m1_PC1.Eth,m1_PC1.Eth___RunF,PC1,,,Y,RunF,RunF,,b,1,,,single
Model1,m1_PC1,m1_PC1___ClimbF,PC1,,,N,ClimbF,ClimbF,,b,3,,,single
Model1,m1_PC1.Eth,m1_PC1.Eth___ClimbF,PC1,,,Y,ClimbF,ClimbF,,b,3,,,single
Model1,m1_PC1,m1_PC1___RunM.RunF,PC1,,,N,RunM.RunF,RunM,RunF,b,2,b,1,difference
Model1,m1_PC1.Eth,m1_PC1.Eth___RunM.RunF,PC1,,,Y,RunM.RunF,RunM,RunF,b,2,b,1,difference
Model1,m1_PC1,m1_PC1___ClimbM.ClimbF,PC1,,,N,ClimbM.ClimbF,ClimbM,ClimbF,b,4,b,3,difference
Model1,m1_PC1.Eth,m1_PC1.Eth___ClimbM.ClimbF,PC1,,,Y,ClimbM.ClimbF,ClimbM,ClimbF,b,4,b,3,difference
Model1,m1_PC1,m1_PC1___ClimbM.RunM,PC1,,,N,ClimbM.RunM,ClimbM,RunM,b,4,b,2,difference
Model1,m1_PC1.Eth,m1_PC1.Eth___ClimbM.RunM,PC1,,,Y,ClimbM.RunM,ClimbM,RunM,b,4,b,2,difference
Model1,m1_PC1,m1_PC1___ClimbF.RunF,PC1,,,N,ClimbF.RunF,ClimbF,RunF,b,3,b,1,difference
Model1,m1_PC1.Eth,m1_PC1.Eth___ClimbF.RunF,PC1,,,Y,ClimbF.RunF,ClimbF,RunF,b,3,b,1,difference
Model1,m1_Stature,m1_Stature___RunM,Stature,,,N,RunM,RunM,,b,2,,,single
Model1,m1_Stature.Eth,m1_Stature.Eth___RunM,Stature,,,Y,RunM,RunM,,b,2,,,single
Model1,m1_Stature,m1_Stature___ClimbM,Stature,,,N,ClimbM,ClimbM,,b,4,,,single
Model1,m1_Stature.Eth,m1_Stature.Eth___ClimbM,Stature,,,Y,ClimbM,ClimbM,,b,4,,,single
Model1,m1_Stature,m1_Stature___RunF,Stature,,,N,RunF,RunF,,b,1,,,single
Model1,m1_Stature.Eth,m1_Stature.Eth___RunF,Stature,,,Y,RunF,RunF,,b,1,,,single
Model1,m1_Stature,m1_Stature___ClimbF,Stature,,,N,ClimbF,ClimbF,,b,3,,,single
Model1,m1_Stature.Eth,m1_Stature.Eth___ClimbF,Stature,,,Y,ClimbF,ClimbF,,b,3,,,single
Model1,m1_Stature,m1_Stature___RunM.RunF,Stature,,,N,RunM.RunF,RunM,RunF,b,2,b,1,difference
Model1,m1_Stature.Eth,m1_Stature.Eth___RunM.RunF,Stature,,,Y,RunM.RunF,RunM,RunF,b,2,b,1,difference
Model1,m1_Stature,m1_Stature___ClimbM.ClimbF,Stature,,,N,ClimbM.ClimbF,ClimbM,ClimbF,b,4,b,3,difference
Model1,m1_Stature.Eth,m1_Stature.Eth___ClimbM.ClimbF,Stature,,,Y,ClimbM.ClimbF,ClimbM,ClimbF,b,4,b,3,difference
Model1,m1_Stature,m1_Stature___ClimbM.RunM,Stature,,,N,ClimbM.RunM,ClimbM,RunM,b,4,b,2,difference
Model1,m1_Stature.Eth,m1_Stature.Eth___ClimbM.RunM,Stature,,,Y,ClimbM.RunM,ClimbM,RunM,b,4,b,2,difference
Model1,m1_Stature,m1_Stature___ClimbF.RunF,Stature,,,N,ClimbF.RunF,ClimbF,RunF,b,3,b,1,difference
Model1,m1_Stature.Eth,m1_Stature.Eth___ClimbF.RunF,Stature,,,Y,ClimbF.RunF,ClimbF,RunF,b,3,b,1,difference
Model1,m1_SitHeight,m1_SitHeight___RunM,SitHeight,,,N,RunM,RunM,,b,2,,,single
Model1,m1_SitHeight.Eth,m1_SitHeight.Eth___RunM,SitHeight,,,Y,RunM,RunM,,b,2,,,single
Model1,m1_SitHeight.Stature,m1_SitHeight.Stature___RunM,SitHeight,Stature,,N,RunM,RunM,,b,2,,,single
Model1,m1_SitHeight.Stature.Eth,m1_SitHeight.Stature.Eth___RunM,SitHeight,Stature,,Y,RunM,RunM,,b,2,,,single
Model1,m1_SitHeight,m1_SitHeight___ClimbM,SitHeight,,,N,ClimbM,ClimbM,,b,4,,,single
Model1,m1_SitHeight.Eth,m1_SitHeight.Eth___ClimbM,SitHeight,,,Y,ClimbM,ClimbM,,b,4,,,single
Model1,m1_SitHeight.Stature,m1_SitHeight.Stature___ClimbM,SitHeight,Stature,,N,ClimbM,ClimbM,,b,4,,,single
Model1,m1_SitHeight.Stature.Eth,m1_SitHeight.Stature.Eth___ClimbM,SitHeight,Stature,,Y,ClimbM,ClimbM,,b,4,,,single
Model1,m1_SitHeight,m1_SitHeight___RunF,SitHeight,,,N,RunF,RunF,,b,1,,,single
Model1,m1_SitHeight.Eth,m1_SitHeight.Eth___RunF,SitHeight,,,Y,RunF,RunF,,b,1,,,single
Model1,m1_SitHeight.Stature,m1_SitHeight.Stature___RunF,SitHeight,Stature,,N,RunF,RunF,,b,1,,,single
Model1,m1_SitHeight.Stature.Eth,m1_SitHeight.Stature.Eth___RunF,SitHeight,Stature,,Y,RunF,RunF,,b,1,,,single
Model1,m1_SitHeight,m1_SitHeight___ClimbF,SitHeight,,,N,ClimbF,ClimbF,,b,3,,,single
Model1,m1_SitHeight.Eth,m1_SitHeight.Eth___ClimbF,SitHeight,,,Y,ClimbF,ClimbF,,b,3,,,single
Model1,m1_SitHeight.Stature,m1_SitHeight.Stature___ClimbF,SitHeight,Stature,,N,ClimbF,ClimbF,,b,3,,,single
Model1,m1_SitHeight.Stature.Eth,m1_SitHeight.Stature.Eth___ClimbF,SitHeight,Stature,,Y,ClimbF,ClimbF,,b,3,,,single
