Model_name,Model_family,Focal,Control1,Control2,Ethnicity,Model_type
m1_ForearmC.ForearmL.Hrs_Total.Eth,Model1,ForearmC,ForearmL,Hrs_Total,Y,m1.3M_Eth
m1_PC1,Model1,PC1,,,N,m1.1M
m1_Stature,Model1,Stature,,,N,m1.1M
m1_SitHeight,Model1,SitHeight,,,N,m1.1M
m1_ArmSpan,Model1,ArmSpan,,,N,m1.1M
m1_Leg,Model1,Leg,,,N,m1.1M
m1_Femur,Model1,Femur,,,N,m1.1M
m1_Tibia,Model1,Tibia,,,N,m1.1M
m1_Arm,Model1,Arm,,,N,m1.1M
m1_Humerus,Model1,Humerus,,,N,m1.1M
m1_ForearmL,Model1,ForearmL,,,N,m1.1M
m1_FootLength,Model1,FootLength,,,N,m1.1M
m1_FootBreadth,Model1,FootBreadth,,,N,m1.1M
m1_HandLength,Model1,HandLength,,,N,m1.1M
m1_HandBreadth,Model1,HandBreadth,,,N,m1.1M
m1_Finger,Model1,Finger,,,N,m1.1M
m1_Biiliac,Model1,Biiliac,,,N,m1.1M
m1_Biacrom,Model1,Biacrom,,,N,m1.1M
m1_Mass,Model1,Mass,,,N,m1.1M
m1_Triceps,Model1,Triceps,,,N,m1.1M
m1_ForearmC,Model1,ForearmC,,,N,m1.1M
m1_Hrs_Sport,Model1,Hrs_Sport,,,N,m1.1M
m1_Exp_yrs,Model1,Exp_yrs,,,N,m1.1M
m1_SitHeight.Stature,Model1,SitHeight,Stature,,N,m1.2M
m1_ArmSpan.Stature,Model1,ArmSpan,Stature,,N,m1.2M
m1_Leg.Stature,Model1,Leg,Stature,,N,m1.2M
m1_Femur.Stature,Model1,Femur,Stature,,N,m1.2M
m1_Tibia.Stature,Model1,Tibia,Stature,,N,m1.2M
m1_Arm.Stature,Model1,Arm,Stature,,N,m1.2M
m1_Humerus.Stature,Model1,Humerus,Stature,,N,m1.2M
m1_ForearmL.Stature,Model1,ForearmL,Stature,,N,m1.2M
m1_FootLength.Stature,Model1,FootLength,Stature,,N,m1.2M
m1_FootBreadth.Stature,Model1,FootBreadth,Stature,,N,m1.2M
m1_HandLength.Stature,Model1,HandLength,Stature,,N,m1.2M
m1_HandBreadth.Stature,Model1,HandBreadth,Stature,,N,m1.2M
m1_Finger.Stature,Model1,Finger,Stature,,N,m1.2M
m1_Biiliac.Stature,Model1,Biiliac,Stature,,N,m1.2M
m1_Biacrom.Stature,Model1,Biacrom,Stature,,N,m1.2M
m1_Mass.Stature,Model1,Mass,Stature,,N,m1.2M
m1_Triceps.Hrs_Total,Model1,Triceps,Hrs_Total,,N,m1.2M
m1_ForearmC.ForearmL,Model1,ForearmC,ForearmL,,N,m1.2M
m1_Tibia.Femur,Model1,Tibia,Femur,,N,m1.2M
m1_Arm.Leg,Model1,Arm,Leg,,N,m1.2M
m1_Humerus.Femur,Model1,Humerus,Femur,,N,m1.2M
m1_ForearmL.Humerus,Model1,ForearmL,Humerus,,N,m1.2M
m1_Finger.HandLength,Model1,Finger,HandLength,,N,m1.2M
m1_Biacrom.Biiliac,Model1,Biacrom,Biiliac,,N,m1.2M
m1_ForearmC.Hrs_Total,Model1,ForearmC,Hrs_Total,,N,m1.2M
m1_ForearmC.ForearmL.Hrs_Total,Model1,ForearmC,ForearmL,Hrs_Total,N,m1.3M
