Model_name,Model_family,Focal,Control1,Control2,Ethnicity,Model_type
m1_PC1.Eth,Model1,PC1,,,Y,m1.1M_Eth
m1_Stature.Eth,Model1,Stature,,,Y,m1.1M_Eth
m1_SitHeight.Eth,Model1,SitHeight,,,Y,m1.1M_Eth
m1_ArmSpan.Eth,Model1,ArmSpan,,,Y,m1.1M_Eth
m1_Leg.Eth,Model1,Leg,,,Y,m1.1M_Eth
m1_Femur.Eth,Model1,Femur,,,Y,m1.1M_Eth
m1_Tibia.Eth,Model1,Tibia,,,Y,m1.1M_Eth
m1_Arm.Eth,Model1,Arm,,,Y,m1.1M_Eth
m1_Humerus.Eth,Model1,Humerus,,,Y,m1.1M_Eth
m1_ForearmL.Eth,Model1,ForearmL,,,Y,m1.1M_Eth
m1_FootLength.Eth,Model1,FootLength,,,Y,m1.1M_Eth
m1_FootBreadth.Eth,Model1,FootBreadth,,,Y,m1.1M_Eth
m1_HandLength.Eth,Model1,HandLength,,,Y,m1.1M_Eth
m1_HandBreadth.Eth,Model1,HandBreadth,,,Y,m1.1M_Eth
m1_Finger.Eth,Model1,Finger,,,Y,m1.1M_Eth
m1_Biiliac.Eth,Model1,Biiliac,,,Y,m1.1M_Eth
m1_Biacrom.Eth,Model1,Biacrom,,,Y,m1.1M_Eth
m1_Mass.Eth,Model1,Mass,,,Y,m1.1M_Eth
m1_Triceps.Eth,Model1,Triceps,,,Y,m1.1M_Eth
m1_ForearmC.Eth,Model1,ForearmC,,,Y,m1.1M_Eth
m1_Hrs_Sport.Eth,Model1,Hrs_Sport,,,Y,m1.1M_Eth
m1_Exp_yrs.Eth,Model1,Exp_yrs,,,Y,m1.1M_Eth
m1_SitHeight.Stature.Eth,Model1,SitHeight,Stature,,Y,m1.2M_Eth
m1_ArmSpan.Stature.Eth,Model1,ArmSpan,Stature,,Y,m1.2M_Eth
m1_Leg.Stature.Eth,Model1,Leg,Stature,,Y,m1.2M_Eth
m1_Femur.Stature.Eth,Model1,Femur,Stature,,Y,m1.2M_Eth
m1_Tibia.Stature.Eth,Model1,Tibia,Stature,,Y,m1.2M_Eth
m1_Arm.Stature.Eth,Model1,Arm,Stature,,Y,m1.2M_Eth
m1_Humerus.Stature.Eth,Model1,Humerus,Stature,,Y,m1.2M_Eth
m1_ForearmL.Stature.Eth,Model1,ForearmL,Stature,,Y,m1.2M_Eth
m1_FootLength.Stature.Eth,Model1,FootLength,Stature,,Y,m1.2M_Eth
m1_FootBreadth.Stature.Eth,Model1,FootBreadth,Stature,,Y,m1.2M_Eth
m1_HandLength.Stature.Eth,Model1,HandLength,Stature,,Y,m1.2M_Eth
m1_HandBreadth.Stature.Eth,Model1,HandBreadth,Stature,,Y,m1.2M_Eth
m1_Finger.Stature.Eth,Model1,Finger,Stature,,Y,m1.2M_Eth
m1_Biiliac.Stature.Eth,Model1,Biiliac,Stature,,Y,m1.2M_Eth
m1_Biacrom.Stature.Eth,Model1,Biacrom,Stature,,Y,m1.2M_Eth
m1_Mass.Stature.Eth,Model1,Mass,Stature,,Y,m1.2M_Eth
m1_Triceps.Hrs_Total.Eth,Model1,Triceps,Hrs_Total,,Y,m1.2M_Eth
m1_ForearmC.ForearmL.Eth,Model1,ForearmC,ForearmL,,Y,m1.2M_Eth
m1_Tibia.Femur.Eth,Model1,Tibia,Femur,,Y,m1.2M_Eth
m1_Arm.Leg.Eth,Model1,Arm,Leg,,Y,m1.2M_Eth
m1_Humerus.Femur.Eth,Model1,Humerus,Femur,,Y,m1.2M_Eth
m1_ForearmL.Humerus.Eth,Model1,ForearmL,Humerus,,Y,m1.2M_Eth
m1_Finger.HandLength.Eth,Model1,Finger,HandLength,,Y,m1.2M_Eth
m1_Biacrom.Biiliac.Eth,Model1,Biacrom,Biiliac,,Y,m1.2M_Eth
m1_ForearmC.Hrs_Total.Eth,Model1,ForearmC,Hrs_Total,,Y,m1.2M_Eth
