"Sex","Model_name","Parameter","rhat","ess_bulk"
"Female","m2_Stature.Eth","b[1]",1.00004429148981,12454.2167351993
"Female","m2_Stature.Eth","b[2]",1.00066190467933,15485.9736166589
"Female","m2_Stature.Eth","b[3]",0.999952485596872,14130.2669102271
"Female","m2_Stature.Eth","b[4]",1.00016613459915,13638.1735407631
"Female","m2_Stature.Eth","b[5]",1.00051644516192,11910.9642666976
"Female","m2_SitHeight.Eth","x[1]",1.00010731843757,14095.8073966967
"Female","m2_SitHeight.Eth","x[2]",1.00064325430165,16924.6026958694
"Female","m2_SitHeight.Eth","x[3]",1.00093997708951,16256.7187174796
"Female","m2_SitHeight.Eth","x[4]",1.00021785369799,16194.3934911051
"Female","m2_SitHeight.Eth","x[5]",1.00013975193844,14417.150486387
"Female","m2_SitHeight.Eth","z[1]",1.00024496469397,11310.6216633162
"Female","m2_SitHeight.Eth","z[2]",1.00043445814828,15545.986151148
"Female","m2_SitHeight.Eth","z[3]",0.999922001277447,19409.2489620158
"Female","m2_SitHeight.Eth","z[4]",1.00030978114578,13684.9008952391
"Female","m2_SitHeight.Eth","z[5]",1.0005203190592,19599.130318888
"Female","m2_SitHeight.Eth","a",1.00028711521866,8947.07930043024
"Female","m2_SitHeight.Eth","sigma_b",1.00026535224464,5605.10193346602
"Female","m2_SitHeight.Eth","sigma_y",1.00106608634114,6612.78917672937
"Female","m2_SitHeight.Eth","sigma",1.00000411865164,16889.7104110945
"Female","m2_SitHeight.Eth","y[1]",1.00008816249504,8751.35961582057
"Female","m2_SitHeight.Eth","y[2]",1.00038325386541,12480.5873151346
"Female","m2_SitHeight.Eth","y[3]",1.00024271506979,17620.3391742352
"Female","m2_SitHeight.Eth","y[4]",0.999935717088057,12901.1522260872
"Female","m2_SitHeight.Eth","y[5]",1.00060039121036,16600.385498833
"Female","m2_SitHeight.Eth","b[1]",1.00031823999144,12459.6848084431
"Female","m2_SitHeight.Eth","b[2]",1.00020127621873,13415.5060596485
"Female","m2_SitHeight.Eth","b[3]",1.00013073165873,12447.2174396305
"Female","m2_SitHeight.Eth","b[4]",1.00014671846317,12586.7490963888
"Female","m2_SitHeight.Eth","b[5]",1.00025475681334,9739.78223917322
"Female","m2_ArmSpan.Eth","x[1]",1.00006887019447,11664.6300853476
"Female","m2_ArmSpan.Eth","x[2]",1.00010895860059,14441.6300678883
"Female","m2_ArmSpan.Eth","x[3]",1.00018149626471,13195.2742236801
"Female","m2_ArmSpan.Eth","x[4]",1.00017765343044,12141.7383178963
"Female","m2_ArmSpan.Eth","x[5]",0.999990971845947,13725.2876678584
"Female","m2_ArmSpan.Eth","z[1]",1.00078778237663,8488.13593294406
"Female","m2_ArmSpan.Eth","z[2]",1.00037300642605,10111.4534819992
"Female","m2_ArmSpan.Eth","z[3]",1.00086868001398,13641.6758564711
"Female","m2_ArmSpan.Eth","z[4]",1.00047800031006,10144.5389691949
