"ID","Sport","Group","Model2_data","Cohort","Code","Age","Sex","Ethnicity","IAAF","Grade_IRCRA","Exp_yrs","Hrs_Sport","Hrs_Other","Hrs_Total","Other_List","Mass","Stature","SitHeight","ArmSpan","Tibia","TibiaHeight","ForearmL","ForeHand","Biacrom","Biiliac","ForearmC","Triceps","X2D","X4D","HandLength","HandBreadth","FootLength","FootBreadth","Leg","Arm","Humerus","Femur","Finger","PC1"
"AC-015","Climb","ClimbM","No","Non-elite","Cn/m",36,"Male","White",NA,18,2,6,5,11,"Cycle, Run, Swim",84.3,197,101,195,45.35,54.5,31.3,53.6,37.4,31.25,28.55,8.35,8.42,8.44,21.5,8.8,25.6,9.7,96,78.8,25.2,41.5,8.43,6.68230645313526
"AR-041","Run","RunM","No","Non-elite","Rn/m",53,"Male","White",11,NA,15,2,0,2,"NONE",79.2,188.25,96,185.25,42.05,50.45,29.15,49.55,40.85,31,28.15,10.35,7.51,7.66,19.8,8.5,25.1,8.8,92.25,72.2,22.65,41.8,7.59,4.00976235890305
"AR-042","Run","RunF","No","Non-elite","Rn/f",53,"Female","White",262,NA,15,2.5,3,5.5,"Pilates, Swim",61.6,170,92,176.5,36.85,44.25,27.1,46.9,38.45,28,24.15,20.75,7.46,7.83,19.2,8,23.1,9.4,78,69.03,22.13,33.75,7.65,0.469745427170588
"AC-016","Climb","ClimbM","No","Non-elite","Cn/m",27,"Male","White",NA,22.5,5,9,1,10,"Run, Cycle",73.8,178.75,95,181.25,39.05,47.9,28.1,47.8,41.2,28.4,28.65,11.2,7.29,7.5,18.9,8.9,22.6,9.7,83.75,70.03,22.23,35.85,7.4,1.69234312677407
"AR-044","Run","RunM","No","Non-elite","Rn/m",50,"Male","White",11,NA,9,2,2,4,"Gym",79,181,96,180.5,40,47.75,28.15,47.4,41,29.6,25.85,8.5,6.61,7.16,18.2,8.3,23.6,9.5,85,69.75,22.35,37.25,6.89,1.74659645678762
"AR-045","Run","RunF","No","Non-elite","Rn/f",47,"Female","White",464,NA,25,3.5,3,6.5,"Gym",66.7,171.5,92.25,167.5,38.85,45.75,26.5,44.45,37,29.4,25.5,14.95,6.54,6.63,17,8.1,22.5,8.8,79.25,65.25,20.8,33.5,6.59,-1.0414268595286
"AR-046","Run","RunM","No","Non-elite","Rn/m",19,"Male","White",235,NA,2,5,5,10,"Gym",69.5,176,95.5,179,37.7,45.4,27.4,46.85,41.35,28.35,27.8,13.2,7.32,7.6,19.3,8.4,22.5,9,80.5,68.83,21.98,35.1,7.46,1.36756765734871
"AX-040","Control","ControlF","Yes",NA,"X/f",25,"Female","Mixed",NA,NA,NA,NA,3,3,"Gym",50.9,169,93.25,163,35.85,42.9,25.35,43.45,33.7,28,22.2,13.4,7.12,7.22,17.5,7.5,22.5,8,75.75,64.65,21.2,32.85,7.17,-1.85299039328575
"AR-047","Run","RunM","No","Non-elite","Rn/m",24,"Male","White",341,NA,4,4,5,9,"Row",66.4,173,94.5,171,36.7,44.5,26.5,44.95,38.9,25.5,25.6,10.3,7.04,7.01,17.6,7.9,23.2,8.6,78.5,66.05,21.1,34,7.03,-0.607544212418622
"AR-048","Run","RunF","No","Non-elite","Rn/f",43,"Female","Other",391,NA,8,3,1,4,"Cycle, Swim",67.7,168,88.75,175.75,36.65,43.6,27.7,46.85,37.95,28.8,24.7,22.55,7.45,7.66,18.2,7.7,21,8.7,79.25,68.9,22.05,35.65,7.56,-0.516769830151227
"AR-049","Run","RunM","No","Non-elite","Rn/m",55,"Male","White",98,NA,4,8,0,8,"NONE",82.6,183.25,93,184.5,41.7,49.85,28.15,48.1,41.25,30.4,24.55,12.1,7.57,7.62,18.6,8.1,25,10.1,90.25,71.63,23.53,40.4,7.59,2.94532995207978
"AR-050","Run","RunF","No","Non-elite","Rn/f",41,"Female","White",513,NA,7,7,7,14,"Boxing",59.2,162.25,86.75,154.5,35.4,42.35,24.45,42.6,34.1,28,22.75,20.9,7.1,7.31,17.4,8,21.8,9.1,75.5,60.2,17.6,33.15,7.2,-3.22053677609895
"AR-051","Run","RunM","No","Non-elite","Rn/m",40,"Male","White",678,NA,15,8,2,10,"Cycle",57.2,164.5,87,161.75,35.75,43.2,25.85,42.7,36.25,26,25.2,7.25,6.54,6.87,17,8.6,21.2,9.2,77.5,62.75,20.05,34.3,6.7,-3.0749503005899
"AC-017","Climb","ClimbF","No","Non-elite","Cn/f",20,"Female","White",NA,20,9,8,3,11,"Cycle, Run, Swim",55.7,167.25,89.25,160,35.9,43.85,24.7,42.2,37.05,25.4,23.25,12.7,6.65,6.94,16.8,7.1,20.9,8.8,78,61.48,19.28,34.15,6.79,-3.09431433779077
"AC-018","Climb","ClimbF","No","Non-elite","Cn/f",35,"Female","White",NA,18,5,4,0,4,"NONE",51.2,157,86,153.25,33.5,40.15,24.45,40.05,35.1,26,23.25,11.8,6.19,6.38,15.6,7.3,20,8.1,71,59.08,19.03,30.85,6.28,-5.35236156406184
"AC-019","Climb","ClimbM","No","Non-elite","Cn/m",28,"Male","White",NA,16.5,4,5,2,7,"Cycle, Walk",66.3,184,97.25,184,40.25,48,28.35,47.25,40.15,29.7,25.8,7.4,7.24,7.41,18,7.8,21.5,8.9,86.75,71.93,24.68,38.75,7.33,1.87298761466802
"AR-052","Run","RunM","No","Non-elite","Rn/m",45,"Male","White",645,NA,15,8,2.5,10.5,"Cycle, Swim",82.1,189.5,98,190,42.7,51.1,30.5,50.65,41.6,28.2,28.3,5.8,7.36,8.21,19.7,9.6,26.6,10.9,91.5,74.2,23.55,40.4,7.78,4.87905406094514
"AC-020","Climb","ClimbM","No","Non-elite","Cn/m",32,"Male","Mixed",NA,21.5,5,6,6,12,"Gym",71,175,91.75,174.25,39.6,47.75,27.15,45.95,39.15,28.45,29.05,8.3,6.85,7.23,18.1,8.6,22.3,9.6,83.25,67.55,21.6,35.5,7.04,0.224726509779429
"AR-053","Run","RunM","Yes","Elite","Re/m",27,"Male","White",880,NA,5,12,4,16,"Cycle, Swim",72.6,190.5,97.5,193,42.85,51.9,30.85,52.05,40.55,30.15,25.15,4.1,7.82,8.48,20.5,8.6,25.7,10,93,76.23,24.18,41.1,8.15,5.45520244152346
"AR-054","Run","RunF","No","Non-elite","Rn/f",21,"Female","White",604,NA,9,2.5,0.5,3,"Swim",52.3,164.25,84,167.5,37.35,44.05,26.5,44.1,37,26.45,21.95,14.9,6.35,6.62,16.9,7.5,21.4,8,80.25,65.25,21.15,36.2,6.49,-2.7476104339827
"AR-055","Sprint","SprintF","Yes","Elite","RSe/f",19,"Female","White",839,NA,10,10,2,12,"Football",57.2,165,89.5,163.5,35.7,43,24.9,42.75,35.65,27.35,22.05,11.85,6.73,6.86,17.4,7.6,21.7,8,75.5,63.93,21.18,32.5,6.79,-2.6492428690837
"AR-056","Sprint","SprintM","Yes","Elite","RSe/m",23,"Male","Black",931,NA,9,7.5,1,8.5,"Basketball",80.1,176.5,90.75,192.25,40.8,48.7,30.5,50.6,42.6,27.7,28.45,4.3,7.2,8,19.7,8.7,24.8,9.7,85.75,74.83,24.23,37.05,7.6,3.24211996401229
"AC-021","Climb","ClimbM","No","Non-elite","Cn/m",31,"Male","Asian",NA,20,4.5,6,1.5,7.5,"Football, Gym",61.9,172.5,89.5,176,38.5,45.7,28.45,46.7,39.15,26.6,25.45,9.15,7.24,7.52,18.4,8.3,23.1,9.1,83,68.43,21.73,37.3,7.38,0.378118345279927
"AR-057","Sprint","SprintM","Yes","Elite","RSe/m",18,"Male","White",851,NA,4,8,1,9,"Hockey",67.2,176,94,181.75,38.95,46.45,27.7,47.6,39.45,27.3,27.15,6.65,7.16,7.16,19.1,8.6,23.8,8.8,82,71.15,23.55,35.55,7.16,1.27556807095394
"AR-058","Run","RunF","Yes","Elite","Re/f",20,"Female","White",723,NA,10,7,3,10,"Swim, Cycle",59.2,172.25,86,174.75,39.8,47.8,27.1,45.6,37.75,27.65,22.45,14.1,7.2,6.91,17.3,7.8,22.5,9.7,86.25,68.5,22.9,38.45,7.06,-0.676576897591428
"AR-059","Run","RunF","Yes","Elite","Re/f",23,"Female","White",977,NA,7,6,5,11,"Gym, Cycle",50.6,155.75,82.5,154.5,33,40.2,24.35,42,33.8,25.45,22.35,7.9,6.46,6.69,16.1,7,20.1,8.1,73.25,60.35,18.35,33.05,6.57,-5.54604925602822
"AR-060","Run","RunF","Yes","Elite","Re/f",20,"Female","White",1011,NA,9,4,7,11,"Cycle, Swim, Gym",57.9,163,86,163.75,36.5,43.5,25.6,42.4,33.95,25.5,23.35,16.9,6.63,6.48,16.6,7.5,20.1,8.1,77,64.9,22.5,33.5,6.55,-3.81325147538338
"AR-061","Sprint","SprintM","Yes","Elite","RSe/m",19,"Male","White",760,NA,11,7,5,12,"Hockey, Football",75.1,185,98,189,41.4,49.45,30.15,49.75,42.7,27.6,27,7.25,7.23,7.35,18.5,8.2,23.4,8.6,87,73.15,23.4,37.55,7.29,3.18426230064702
"AR-062","Run","RunF","Yes","Elite","Re/f",31,"Female","Mixed",797,NA,10,10,1,11,"Cycle",49.2,163.5,90,162,34.15,41.1,25.75,42.25,35.85,29,20.9,6.45,6.45,6.61,16.2,7,19.9,8.1,73.5,63.08,20.83,32.4,6.53,-3.45387370076144
"AR-063","Run","RunM","Yes","Elite","Re/m",34,"Male","White",883,NA,18,10,0.5,10.5,"Gym",80.8,183.75,97.5,188.75,40.6,49.05,30.5,50.2,41.3,30,26.75,8.65,7.47,7.45,20,8.5,23.8,10.2,86.25,73.73,23.53,37.2,7.46,3.76857523066969
"AX-041","Control","ControlM","Yes",NA,"X/m",33,"Male","White",NA,NA,NA,NA,3,3,"Run, Climb",84.7,182.5,98,188.25,39.25,49.05,28.65,49.1,43.6,28.8,29,8.15,7.38,8.09,20.1,9.3,22.7,9.5,84.5,72.33,23.23,35.45,7.73,3.31464136117225
"AR-064","Run","RunM","No","Non-elite","Rn/m",27,"Male","Other",512,NA,5,6,3,9,"Cycle, Swim, Freedive",72.6,169.75,87.75,174.75,39.55,46.6,27.25,45.45,40.7,27.1,25.45,9,6.65,7.32,17.7,8.3,21.6,9.9,82,67.03,21.58,35.4,6.99,-0.503514919351185
"AR-065","Run","RunM","No","Non-elite","Rn/m",36,"Male","White",581,NA,1.5,6,2,8,"Cycle",76.1,185.75,97.25,188,40.7,49.5,29.2,49.25,40.15,28.55,28.75,5.55,7.59,8.03,18.9,8.5,24.5,10.4,88.5,73.93,24.68,39,7.81,3.33864815455278
"AX-042","Control","ControlM","Yes",NA,"X/m",27,"Male","White",NA,NA,NA,NA,4,4,"Gym, Climb",66.9,182,98,178.5,39.85,47.85,28.6,48.1,39.65,28.7,26.4,4.25,7.76,7.86,18.6,8,25.5,9.5,84,69.43,21.33,36.15,7.81,2.74762423483194
"AC-022","Climb","ClimbM","No","Non-elite","Cn/m",25,"Male","White",NA,17,2,9,3,12,"Run, Gym, Row",79.8,182.5,95.75,188.5,39.75,47.95,29,49.35,42.8,28.8,29.1,7.35,8,7.9,19.4,8.6,24.6,10,86.75,72.85,23.5,38.8,7.95,3.52033528253603
"AR-066","Run","RunF","Yes","Elite","Re/f",32,"Female","White",707,NA,10,4,1,5,"Climb, Ski, Hike",58.3,163.75,91,162,34.35,42.25,25.1,43.35,36.6,27.3,22.7,14.7,7.25,7.14,17,7.5,21,8.9,72.75,62.7,19.35,30.5,7.2,-2.69325294624332
"AR-067","Run","RunM","Yes","Elite","Re/m",20,"Male","Mixed",902,NA,5,10,3,13,"Cycle, Swim",62.1,173.5,92.5,178.75,37.9,45.6,28.55,47.35,37.5,25.5,24.9,5.8,7.2,7,17.7,7.9,22,9.8,81,70.63,23.28,35.4,7.1,-0.229906723628838
"AC-023","Climb","ClimbF","Yes","Elite","Ce/f",20,"Female","White",NA,24,15,10,0,10,"NONE",55.6,161.5,87,162.05,35.55,43.5,24.65,41.8,36.75,25.8,24.5,12.35,6.8,6.98,16.6,7.6,20.1,9.1,74.5,62.65,20.85,31,6.89,-3.6174707968874
"AR-068","Run","RunF","Yes","Elite","Re/f",37,"Female","White",953,NA,15,8,2,10,"Gym",61.9,169.25,91.5,168.75,35.65,44.15,27.35,46.1,37.55,29.2,24.4,12.05,7.15,7.16,17.7,7.5,23.2,8.4,77.75,65.6,19.5,33.6,7.16,-0.682353264564931
"AC-024","Climb","ClimbM","No","Non-elite","Cn/m",19,"Male","White",NA,18,3,7,2,9,"Cycle",70.4,172,93,168.5,37.45,44.45,26.35,45.05,39.15,28,26.9,15.1,6.87,7.37,18.1,7.9,22.6,9.3,79,64.68,19.63,34.55,7.12,-0.391901444616121
"AC-025","Climb","ClimbM","Yes","Elite","Ce/m",20,"Male","Mixed",NA,24,12,12,0,12,"NONE",57.8,176,89.5,179,40.7,48.2,28.1,47,41,26.45,24.4,7.6,6.74,7.34,17.7,7.3,21.9,8.3,86.5,69,22,38.3,7.04,0.394476296386822
"AC-026","Climb","ClimbM","No","Non-elite","Cn/m",51,"Male","White",NA,13,25,2.5,0,2.5,"NONE",74,180.75,98,182.5,38.4,47.35,28.7,48.65,42.65,29.95,27.9,8.5,7.33,7.75,19.1,8.5,22.5,8.9,82.75,69.93,21.28,35.4,7.54,2.5018463469787
"AX-043","Control","ControlM","Yes",NA,"X/m",26,"Male","White",NA,NA,NA,NA,5,5,"Run, Football",83.8,184,98.25,187.75,38.6,47.2,28.2,48.15,42.6,30.55,26.4,17.1,7.32,7.52,18.9,7.9,24.3,9.3,85.75,72.58,24.43,38.55,7.42,3.05350290977339
"AX-044","Control","ControlF","Yes",NA,"X/f",31,"Female","White",NA,NA,NA,NA,5,5,"Pilates",60.4,164,86.5,164.25,37.25,43.95,26,43.75,36.25,27.85,23,20.9,6.52,6.58,16.9,7.3,20.6,8.5,77.5,64,20.25,33.55,6.55,-2.85607831651966
"AX-045","Control","ControlM","Yes",NA,"X/m",31,"Male","White",NA,NA,NA,NA,3,3,"Swim, Row",69.8,177.25,93.5,180.5,39.6,46.6,28,47.6,40.8,26.4,28.2,11.7,7.95,7.64,18.7,8.3,23.4,9.4,83.75,69.85,22.25,37.15,7.79,1.64390824933971
"AX-046","Control","ControlF","Yes",NA,"X/f",28,"Female","White",NA,NA,NA,NA,0,0,"NONE",67.2,160,85,162.25,35.7,42.95,25.8,42.45,36.2,28.65,25.2,26.4,6.52,6.76,16.3,7.5,19.3,8.1,75,63.03,20.58,32.05,6.64,-3.74020154139009
"AX-047","Control","ControlF","Yes",NA,"X/f",30,"Female","White",NA,NA,NA,NA,2,2,"Yoga",65.9,169.75,91.5,169.5,36.5,43.55,25.65,44.25,36.8,27.7,23.6,25.2,7.21,7.28,17.7,7.7,22.4,8.6,78.25,66.35,22.1,34.7,7.25,-1.17653859297248
"AX-048","Control","ControlF","Yes",NA,"X/f",62,"Female","Mixed",NA,NA,NA,NA,2,2,"Cycle",70.5,161.5,84,167.25,36.7,43.95,27,44.9,37.1,29.25,23.15,29.1,6.7,6.97,17.7,7.6,21.7,9.2,77.5,65.08,20.18,33.55,6.83,-2.05159270127328
"AX-049","Control","ControlM","Yes",NA,"X/m",34,"Male","White",NA,NA,NA,NA,4,4,"Squash, Kayak, Gym",104.6,182.25,96.5,188,41.05,48.7,30.1,49.55,43.35,32.05,29.65,24,7.14,7.5,18.7,8.5,23.5,9.6,85.75,72.33,22.78,37.05,7.32,3.51384661109431
"AX-050","Control","ControlM","Yes",NA,"X/m",27,"Male","White",NA,NA,NA,NA,2,2,"Run, Cycle",81.1,181,97.5,177.5,38.3,47.4,28.05,46.85,39.9,28.3,27.3,13.5,7.04,7.24,18.8,8.8,23.2,8.9,83.5,68.8,21.95,36.1,7.14,1.49072006823518
"AR-069","Run","RunF","No","Non-elite","Rn/f",31,"Female","White",671,NA,2,5,9,14,"Cycle, Swim, Gym, Yoga",48.3,149.25,81,152.5,31.5,38.5,22.9,39.15,35,26.55,21.2,16.9,6.03,6.2,15.8,6.6,19.4,7.9,68.25,58.75,19.6,29.75,6.11,-6.7279418122124
"AX-051","Control","ControlF","Yes",NA,"X/f",18,"Female","Asian",NA,NA,NA,NA,4,4,"Climb, Gym",50.2,166.75,86.5,174.25,37.4,44.95,28.1,46.6,35.2,26.7,21.3,18.85,6.93,7.32,17.3,7.1,21.9,8.7,80.25,69.53,22.93,35.3,7.13,-1.48133732416586
"AX-052","Control","ControlM","Yes",NA,"X/m",18,"Male","Asian",NA,NA,NA,NA,10,10,"Cricket, Cycle, Gym, Climb",59.8,172.5,89.25,178,39,46.55,27.9,46.4,39.05,27.4,25.05,8,7.21,7.45,18.1,7.7,22.1,8.9,83.25,69.48,23.08,36.7,7.33,0.155135419371388
"AC-027","Climb","ClimbF","No","Non-elite","Cn/f",36,"Female","Asian",NA,10,1,15,7,22,"Cycle, Gym",57,161.5,85.25,167.75,37,43.85,25.8,43.1,37.65,26.7,25.45,11,6.71,7.41,17.5,7.7,20.2,8.3,76.25,65.05,21.95,32.4,7.06,-2.54751060619265
"AR-070","Run","RunM","No","Non-elite","Rn/m",20,"Male","White",499,NA,7.5,15,0,15,"NONE",78.1,177.25,94,174,38.25,45.75,27.15,46.35,39.45,29.4,26.7,14.15,7.02,7.36,17.9,8.2,22.9,9.5,83.25,67.28,20.93,37.5,7.19,0.571394086674789
"AR-071","Run","RunM","Yes","Elite","Re/m",24,"Male","White",725,NA,10,8,2,10,"Orienteering",67.1,179.5,93,178.75,40.25,47.75,27.6,46.8,38.6,27.95,24.1,10,6.94,7.5,19,8.2,24.2,9.7,86.5,70.08,23.28,38.75,7.22,1.46529257921553
"AX-053","Control","ControlF","Yes",NA,"X/f",27,"Female","White",NA,NA,NA,NA,0,0,"NONE",52.3,162.75,86.5,159.75,35.1,42.45,24.85,41.85,37.25,28.7,21.7,14.25,6.2,6.43,16.7,7.4,20.3,8.2,76.25,61.25,19.4,33.8,6.32,-3.63372345756217
"AR-072","Sprint","SprintF","Yes","Elite","RSe/f",22,"Female","Black",847,NA,6,18,3,21,"Yoga, Gym",60.3,167,87.5,175.75,38.15,45,28.2,47.1,37.15,26.65,23.3,10.25,7.06,7.22,18.2,7.2,21.3,8.9,79.5,69.3,22.2,34.5,7.14,-0.869618904061818
"AC-028","Climb","ClimbM","No","Non-elite","Cn/m",40,"Male","White",NA,21,10,4,1,5,"Cycle, Run",67.4,179.5,92.75,185.25,41.2,49.15,29.25,49.3,41.6,26.4,26.25,8.45,8.19,8.87,19.9,8.9,23.4,9.5,86.75,71.83,22.53,37.6,8.53,3.20123888841281
"AW-001","Walk","WalkF","Yes","Elite","We/f",23,"Female","White",925,NA,8,12,0,12,"NONE",61.3,172,91.5,174.5,37.55,44.4,26.35,45.3,39.4,29,22.15,12.2,7.16,7.27,18.5,7.4,21.1,8.2,80.5,67.55,22.25,36.1,7.22,-0.25628740383195
"AX-054","Control","ControlF","Yes",NA,"X/f",58,"Female","White",NA,NA,NA,NA,0,0,"NONE",57.2,168,89.25,169,37.65,45.1,25.65,44.95,35.2,30.35,23.1,16.3,6.95,7.24,18,7.3,21.2,8,78.75,66.9,21.95,33.65,7.09,-1.41211600060524
"AR-073","Run","RunF","No","Non-elite","Rn/f",22,"Female","White",303,NA,8,1.5,1,2.5,"Cycle, Swim, Gym",63.5,175.5,91,177.5,40.3,47.35,27.8,47,36.05,29,23.7,11.6,7.43,7.72,18.5,8.2,23.3,9.1,84.5,70.73,23.73,37.15,7.58,0.895117338402706
"AC-029","Climb","ClimbM","Yes","Elite","Ce/m",19,"Male","White",NA,26,4,20,2,22,"Run",63.6,174.5,91.5,177.75,39.35,47.95,28.1,47.4,40.15,29.45,26.5,4.35,7.08,7.45,18.2,8.2,24.7,9.6,83,68.8,21.4,35.05,7.26,1.30882352314127
"AC-030","Climb","ClimbF","No","Non-elite","Cn/f",24,"Female","White",NA,15.5,7,6,14,20,"Run, Yoga, Gym, Walk",68.4,170,89,167.5,37.8,45.15,26.5,43.75,36.75,28.8,26.45,21.8,6.18,6.46,17.1,7.4,20.4,8.8,81,65.38,21.63,35.85,6.32,-2.12193544766258
"AC-031","Climb","ClimbM","No","Non-elite","Cn/m",24,"Male","White",NA,17,1,12,2,14,"Yoga",64.7,183,95.5,184.25,40.45,49,27.5,47,42.55,29.5,26.65,7.8,7.23,7.56,18.6,7.8,24.4,8.5,87.5,70.85,23.85,38.5,7.4,2.62079252931844
"AC-032","Climb","ClimbM","No","Non-elite","Cn/m",25,"Male","White",NA,18,14,12,2,14,"Tennis, Squash, Badminton",70,175.5,94.5,170.75,38.35,46.45,26.75,45.65,39,27,28.25,14,6.55,7.21,17.1,8.3,23.4,9.4,81,65.88,20.23,34.55,6.88,-0.272769440032798
"AC-033","Climb","ClimbM","No","Non-elite","Cn/m",39,"Male","White",NA,17,17,10,10,20,"Run, Swim, Gym, Yoga",59.9,159,83.75,165.25,35.4,42.15,25.5,44,37.75,25.3,25.8,11.85,6.56,6.9,17.6,7.6,22.8,8.2,75.25,63.75,19.75,33.1,6.73,-2.91925577615772
"AC-034","Climb","ClimbM","No","Non-elite","Cn/m",50,"Male","Other",NA,19,32,6,1,7,"Run, Row",65.6,172.5,89,175.75,39.3,46.75,27.1,46.5,39.5,28,27.6,8,6.96,7.58,17.4,8.6,23,9.3,83.5,68.13,21.63,36.75,7.27,0.000783273569152834
"AC-035","Climb","ClimbM","No","Non-elite","Cn/m",29,"Male","White",NA,14,7,6,3,9,"Gym",69.4,169,89.5,174.75,37.7,45.3,27.05,46.75,39.65,28.1,28.3,11.35,7.33,7.96,18.8,8.1,23.3,8.3,79.5,67.55,20.8,34.2,7.65,0.362295588363221
"AC-036","Climb","ClimbM","No","Non-elite","Cn/m",25,"Male","White",NA,20,10,12,3,15,"Yoga, Swim",68,176,97.25,171.25,36,44.6,26,44.25,38.35,25.85,27.45,8.15,6.85,7.03,17.5,8,22.5,9.4,78.75,66.45,22.2,34.15,6.94,-0.716423487802736
"AC-037","Climb","ClimbM","Yes","Elite","Ce/m",27,"Male","White",NA,24,18,4,2,6,"Tennis, Squash, Run, Cycle",68.4,174.5,89.75,184.75,38.9,47.55,29.65,50.05,40,27.3,27.35,9.7,7.5,8.39,19.7,8.3,22.8,8.7,84.75,72.38,22.33,37.2,7.94,1.90056419243356
"AC-038","Climb","ClimbM","No","Non-elite","Cn/m",21,"Male","White",NA,23,5,8,10,18,"Row, Run",72.7,177.5,94,180.5,39.6,48.1,29.4,48.35,39.9,27.1,29,7.1,6.91,7.51,18.2,8.3,23.2,8.9,83.5,70.3,21.95,35.4,7.21,1.3745153502665
"AC-039","Climb","ClimbM","No","Non-elite","Cn/m",28,"Male","Asian",NA,19,5,3.5,2,5.5,"Run",63.8,169,87.5,176.5,38.7,45.85,27.5,45.65,41.65,27.1,27.05,8.2,6.78,7.26,18,8.2,23,9.4,81.5,67.43,21.78,35.65,7.02,-0.0729689131677333
"AC-040","Climb","ClimbF","No","Non-elite","Cn/f",26,"Female","White",NA,17,5,9,1.5,10.5,"Swim",60.1,164.25,87,162.5,37,44,25.15,42.9,36.15,25.3,25.15,12.05,6.5,6.84,17.5,7.9,20.7,8.3,77.25,63.18,20.28,33.25,6.67,-3.07531548552642
"AW-002","Walk","WalkM","Yes","Elite","We/m",24,"Male","White",1067,NA,13,8,0,8,"NONE",66.8,175,94.75,176.5,36.85,45,27.35,46.2,41.75,26.05,25.75,7.7,7.36,7.57,17.8,8.2,22.1,9,80.25,67.38,21.18,35.25,7.47,0.350797228367049
"AR-074","Sprint","SprintF","Yes","Elite","RSe/f",21,"Female","White",1013,NA,12,10,8,18,"Swim, Cycle, Gym",54.5,163,89,156.75,35.2,42.45,24,40.6,37.05,25.5,22.15,10.7,6.34,6.57,15.6,7.4,20.9,8,74,59.85,19.25,31.55,6.45,-4.17776859943511
"AR-075","Run","RunM","Yes","Elite","Re/m",20,"Male","White",774,NA,2,8,2,10,"Gym",69.1,189.25,96,194,43.25,51.7,30.85,51.15,41.55,26.9,24.35,6.35,7.87,8.11,19.8,8.2,24.5,9.1,93.25,76.23,25.08,41.55,7.99,4.61072683834541
"AR-076","Run","RunM","Yes","Elite","Re/m",18,"Male","Mixed",934,NA,6,5,0,5,"NONE",68.4,176.25,92.25,177.75,39.1,46.35,28.5,47.8,39.65,26.9,25.35,9.35,7.09,7.53,18.3,7.8,23.5,9,84,69.05,21.25,37.65,7.31,0.971164152987462
"AR-077","Run","RunM","Yes","Elite","Re/m",20,"Male","White",966,NA,5,9,0,9,"NONE",63.8,174.25,88.75,181,41,49,28.1,47.3,39.3,28.35,25.25,7.4,6.86,7.31,18.7,8.1,22.4,9,85.5,70.85,23.55,36.5,7.09,0.818182555762544
"AR-078","Run","RunM","Yes","Elite","Re/m",22,"Male","White",1047,NA,12,6,0,6,"NONE",65.5,173.5,90.25,178,38.75,45.65,28.55,47.05,39.9,26.55,25.85,9.9,6.88,7.48,18.5,7.5,22.6,9.2,83.25,69.05,22,37.6,7.18,0.4763963322313
"AR-079","Sprint","SprintM","Yes","Elite","RSe/m",25,"Male","Black",860,NA,10,4,7,11,"Long Jump",88,190,94.75,195.5,46.1,53.45,32.85,54.6,44.15,28.25,29.85,5.4,8.36,7.79,21.5,8.8,26.3,10.2,95.25,75.68,21.08,41.8,8.07,6.69231334148798
"AW-003","Walk","WalkF","Yes","Elite","We/f",25,"Female","White",703,NA,9,10,0,10,"NONE",73.6,171,91,168,38.25,45.45,26.3,43,37.15,27.7,25.95,26.95,5.7,6.5,16.4,7.5,20.6,8.1,80,65.43,22.43,34.55,6.1,-2.2732784513995
"AW-004","Walk","WalkF","Yes","Elite","We/f",23,"Female","White",886,NA,11,6,0,6,"NONE",46.8,156.25,85.5,155,33.75,39.5,23.5,39,35.1,26.55,20.85,11,6.06,6.13,15.1,7.2,19.1,7.4,70.75,59.95,20.95,31.25,6.1,-5.87620243429847
"AW-005","Walk","WalkM","Yes","Elite","We/m",27,"Male","White",1143,NA,15,10,0,10,"NONE",64.5,172.5,93.5,175,35.85,43.65,27.25,45.95,41.45,27.2,25.4,6.2,7.15,7.23,18.6,8.4,22.4,9.4,79,66.78,20.83,35.35,7.19,0.157919690255693
"AR-080","Run","RunM","Yes","Elite","Re/m",19,"Male","White",915,NA,10,10,0,10,"NONE",63,167.75,90.75,170.25,35.1,43.5,26.15,44.85,39.7,25.2,24.5,6.6,7.02,7.31,17.5,7.9,22.7,8.9,77,65.28,20.43,33.5,7.16,-1.38710006577394
"AR-081","Run","RunF","Yes","Elite","Re/f",23,"Female","Mixed",1101,NA,10,15,0,15,"Swim, Cycle",55.7,163.5,86,167,37.3,43.7,26.35,44.95,36.4,26.35,21.75,11.7,7.16,7.73,17.8,8.2,21.5,8.3,77.5,65.3,20.35,33.8,7.44,-1.88735013364754
"AR-082","Run","RunM","Yes","Elite","Re/m",31,"Male","White",945,NA,3,8,5,13,"Hike",60.6,177.25,93.25,174.25,38.15,46.45,26.95,45.6,41.05,27.45,23.55,5,7.6,7.86,18.4,8.2,22.1,8.5,84,66.6,21,37.55,7.73,0.771246079104849
"AR-083","Run","RunF","Yes","Elite","Re/f",32,"Female","White",1212,NA,20,15,0,15,"Gym",57.9,172,91.25,173.5,37.9,44.8,26.85,45.4,38.7,27.3,22.85,7,7.11,7.19,17.9,7.6,21.5,8.6,80.75,67.4,22,35.95,7.15,-0.565664117761227
"AR-084","Run","RunM","Yes","Elite","Re/m",27,"Male","White",918,NA,16,10,3,13,"Cycle, Gym",64.7,176,90.25,176,39.05,47.65,27.35,45.75,39.3,28.05,25.25,5.65,7.07,7.43,18,7.7,24.7,9.3,85.75,68.35,22.6,38.1,7.25,0.735091530980121
