"ID","Sport","Group","Model2_data","Cohort","Code","Age","Sex","Ethnicity","IAAF","Grade_IRCRA","Exp_yrs","Hrs_Sport","Hrs_Other","Hrs_Total","Other_List","Mass","Stature","SitHeight","ArmSpan","Tibia","TibiaHeight","ForearmL","ForeHand","Biacrom","Biiliac","ForearmC","Triceps","X2D","X4D","HandLength","HandBreadth","FootLength","FootBreadth","Leg","Arm","Humerus","Femur","Finger","PC1"
"AC-007","Climb","ClimbM","Yes","Elite","Ce/m",20,"Male","White",NA,25,7,15,4,19,"Yoga",72.4,176.5,90.5,179.75,40.15,48.35,29.2,48.2,40.9,28.75,28.2,6.2,7.36,7.72,18.3,8.5,22.9,9,86,69.43,21.23,37.65,7.54,1.55990210521939
"AC-008","Climb","ClimbM","Yes","Elite","Ce/m",20,"Male","White",NA,24,8,10,3,13,"Cycle",63.4,172.5,92.5,176.25,37.65,45.5,27.4,46.25,38.75,26.8,27.05,10.6,7.33,7.78,18.1,8.1,25.5,8.8,80,68.75,22.5,34.5,7.56,0.76654717957682
"AX-019","Control","ControlM","Yes",NA,"X/m",19,"Male","White",NA,NA,NA,NA,0,0,"NONE",80.4,183.5,99.5,179.5,39.45,47.95,28.4,46.95,39.85,28.4,28.15,12.15,7.34,7.27,18.5,8.8,23.7,9.5,84,69.83,22.88,36.05,7.31,2.1496952563612
"AX-020","Control","ControlM","Yes",NA,"X/m",18,"Male","Asian",NA,NA,NA,NA,0,0,"Walk",61.2,164.5,83.5,173.5,38.3,45.25,27.9,45.9,39.15,26.8,25.6,16.6,6.55,6.78,16.6,7.4,22.3,8.6,81,67.18,21.28,35.75,6.67,-1.69695487895205
"AX-021","Control","ControlM","Yes",NA,"X/m",18,"Male","White",NA,NA,NA,NA,10,10,"Row",69.8,174,94,178.25,37.5,45.1,27.85,46.1,40.05,25,27.55,6.95,7.12,7.38,17.7,8.2,23,8.9,80,69.1,23,34.9,7.25,0.212706887543939
"AX-022","Control","ControlF","Yes",NA,"X/f",27,"Female","White",NA,NA,NA,NA,4,4,"Squash, Running",54.5,168,87.75,161.5,36.7,44.6,25.5,43.1,34.7,26.55,21.85,21.7,6.49,6.87,17,7.4,21.1,8.3,80.25,63.4,20.3,35.65,6.68,-2.96591869894792
"AX-023","Control","ControlF","Yes",NA,"X/f",23,"Female","Mixed",NA,NA,NA,NA,4,4,"Dance",55.4,175,94,173.75,37.75,46.1,26.65,44.75,38.05,29,22,11.6,6.72,6.89,17.1,6.9,23.6,8.5,81,67.85,23.1,34.9,6.81,-0.218898802106966
"AX-024","Control","ControlM","Yes",NA,"X/m",22,"Male","White",NA,NA,NA,NA,11,11,"Row",87.1,183,95.75,182.5,40,48.15,28.95,48,41.7,29.05,29.6,14.95,6.85,7.36,17.5,8.5,23,9.3,87.25,70.4,22.4,39.1,7.11,1.86346554400551
"AX-025","Control","ControlM","Yes",NA,"X/m",21,"Male","White",NA,NA,NA,NA,14,14,"Row, Squash",74.4,187,99.5,191.5,40.75,49.3,30.25,49.85,40.8,28.75,28.4,4.05,7.15,7.1,18.7,8.6,26,9.8,87.5,75.35,25.5,38.2,7.13,3.77628611742489
"AX-026","Control","ControlF","Yes",NA,"X/f",22,"Female","White",NA,NA,NA,NA,9.5,9.5,"Powerlift, Cycle",58.1,161.5,87,157,34.95,42.2,24.9,42,33.7,28.75,24.6,13,6.49,6.54,15.7,7,21.9,8.1,74.5,61.65,19.65,32.3,6.52,-3.98982874277115
"AX-042","Run","RunF","No","Non-elite","Rn/f",23,"Female","White",51,NA,1,3,5,8,"Gym, Pole",60,156.5,83.25,154.5,35.65,41.6,24.4,40.35,33.85,26.15,22.45,22.95,6.55,6.28,15.8,6.8,20.9,7.8,73.25,60.33,19.98,31.65,6.42,-5.03576217624228
