"Extraction_name","Model_name","Parameter1","Parameter1_index","Parameter2","Parameter2_index","Comparison_type","mean","sd","ci_lower_89","ci_upper_89","ci_lower_95","ci_upper_95","prob_positive","n_samples"
"m1_HandBreadth.Stature___RunM.RunF","m1_HandBreadth.Stature","b",2,"b",1,"difference",-0.392863818391923,0.230340976643999,-0.7590674981405,-0.02447220005,-0.84014682975,0.0640994489999999,0.0448125,16000
"m1_HandBreadth.Stature.Eth___RunM.RunF","m1_HandBreadth.Stature.Eth","b",2,"b",1,"difference",-0.468722645511147,0.227512467830381,-0.83028401215,-0.10598455689,-0.9162813835,-0.0243119605000001,0.0189375,16000
"m1_HandBreadth___ClimbM.ClimbF","m1_HandBreadth","b",4,"b",3,"difference",0.333185985350824,0.207663225708679,0.000201103200000015,0.6654166758,-0.077798875585,0.74003697005,0.9450625,16000
"m1_HandBreadth.Eth___ClimbM.ClimbF","m1_HandBreadth.Eth","b",4,"b",3,"difference",0.3041742133508,0.198832981911384,-0.0133702118,0.62038924515,-0.084044405125,0.688686755,0.936,16000
"m1_HandBreadth.Stature___ClimbM.ClimbF","m1_HandBreadth.Stature","b",4,"b",3,"difference",0.32084119282302,0.211343384510676,-0.01707131482,0.65986630311,-0.0994779381,0.73696360775,0.936625,16000
"m1_HandBreadth.Stature.Eth___ClimbM.ClimbF","m1_HandBreadth.Stature.Eth","b",4,"b",3,"difference",0.28862373651712,0.199728733928055,-0.02831247315,0.605140015,-0.10656024224,0.674308509,0.9271875,16000
"m1_HandBreadth___ClimbM.RunM","m1_HandBreadth","b",4,"b",2,"difference",0.489678393364312,0.217002361240227,0.144788254545,0.8347332258,0.054574310075,0.9120934913,0.987,16000
"m1_HandBreadth.Eth___ClimbM.RunM","m1_HandBreadth.Eth","b",4,"b",2,"difference",0.575572555368203,0.210758196048783,0.239799444793,0.9085142531,0.15729653675675,0.9841909485,0.9965625,16000
"m1_HandBreadth.Stature___ClimbM.RunM","m1_HandBreadth.Stature","b",4,"b",2,"difference",0.465566411097979,0.221616211515657,0.1067796991155,0.81756141705,0.0250875999225,0.9035043505,0.9806875,16000
"m1_HandBreadth.Stature.Eth___ClimbM.RunM","m1_HandBreadth.Stature.Eth","b",4,"b",2,"difference",0.541204905536591,0.218098686543668,0.189824986945,0.88796771045,0.1079514588,0.9717324935,0.992375,16000
"m1_HandBreadth___ClimbF.RunF","m1_HandBreadth","b",3,"b",1,"difference",-0.245494361441909,0.2234078220412,-0.6016190945,0.113193366063,-0.67947164775,0.1925653565,0.1380625,16000
"m1_HandBreadth.Eth___ClimbF.RunF","m1_HandBreadth.Eth","b",3,"b",1,"difference",-0.207089437458896,0.213889958899607,-0.55192981588,0.13727637681,-0.62330027325,0.2135112395,0.164875,16000
"m1_HandBreadth.Stature___ClimbF.RunF","m1_HandBreadth.Stature","b",3,"b",1,"difference",-0.248138600116964,0.225559820970418,-0.61133709485,0.11492312724,-0.69081917275,0.1939373543,0.1335625,16000
"m1_HandBreadth.Stature.Eth___ClimbF.RunF","m1_HandBreadth.Stature.Eth","b",3,"b",1,"difference",-0.216141476491676,0.212109046209616,-0.554728283365,0.12309160219,-0.62995939325,0.20267367895,0.152375,16000
"m1_Finger___RunM","m1_Finger","b",2,NA,NA,"single",-0.00468749616394506,0.138498887179841,-0.2272436382,0.21640522095,-0.27240336725,0.26767578725,0.4841875,16000
"m1_Finger.Eth___RunM","m1_Finger.Eth","b",2,NA,NA,"single",-0.0569073279440563,0.138437209395674,-0.2765769507,0.1667964202,-0.32562785275,0.2162906485,0.3369375,16000
"m1_Finger.Stature___RunM","m1_Finger.Stature","b",2,NA,NA,"single",0.0726959130949322,0.150956965971298,-0.16785646365,0.31505933155,-0.223142196,0.37293753825,0.6859375,16000
