Category,Subcategory,Species,Reference,Specimen,Location,Sex,Mass,Stature
Study Sample,NA,H. sapiens,NA,NA,UK,M,81.5,1727.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,60.2,1660.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,58.1,1650.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,57.9,1705.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,55.3,1600.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,57.8,1765.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,69.6,1800.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,74.5,1890.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,76.4,1850.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,62.8,1702.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,80.9,1845.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,73.7,1855.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,62.8,1692.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,62.7,1752.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,59.1,1780.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,52,1650.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,61.5,1630.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,71.9,1820.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,79.1,1987.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,52.7,1780.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,74.4,1835.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,70,1810.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,68,1792.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,52,1712.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,61.6,1665.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,52,1705.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,58.7,1655.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,80.2,1867.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,57.5,1672.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,62.8,1682.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,65.3,1735.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,80.6,1805.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,81.1,1772.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,88.6,1870.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,76.9,1787.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,70.8,1795.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,90.4,1827.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,92.7,1785.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,71.5,1720.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,48.7,1692.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,72.3,1795.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,73.2,1830.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,74.7,1805.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,58.2,1642.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,61.7,1670.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,61.2,1630.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,72.1,1735.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,88.2,1820.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,49.6,1620.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,84.3,1970.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,79.2,1882.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,61.6,1700.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,73.8,1787.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,79,1810.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,66.7,1715.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,69.5,1760.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,50.9,1690.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,66.4,1730.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,67.7,1680.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,82.6,1832.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,59.2,1622.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,57.2,1645.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,55.7,1672.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,51.2,1570.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,66.3,1840.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,82.1,1895.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,71,1750.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,72.6,1905.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,52.3,1642.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,57.2,1650.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,80.1,1765.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,61.9,1725.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,67.2,1760.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,59.2,1722.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,50.6,1557.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,57.9,1630.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,75.1,1850.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,49.2,1635.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,80.8,1837.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,84.7,1825.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,72.6,1697.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,76.1,1857.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,66.9,1820.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,79.8,1825.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,58.3,1637.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,62.1,1735.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,55.6,1615.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,61.9,1692.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,70.4,1720.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,57.8,1760.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,74,1807.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,83.8,1840.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,60.4,1640.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,69.8,1772.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,67.2,1600.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,65.9,1697.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,70.5,1615.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,104.6,1822.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,81.1,1810.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,48.3,1492.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,50.2,1667.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,59.8,1725.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,57,1615.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,78.1,1772.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,67.1,1795.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,52.3,1627.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,60.3,1670.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,67.4,1795.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,61.3,1720.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,57.2,1680.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,63.5,1755.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,63.6,1745.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,68.4,1700.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,64.7,1830.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,70,1755.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,59.9,1590.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,65.6,1725.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,69.4,1690.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,68,1760.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,68.4,1745.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,72.7,1775.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,63.8,1690.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,60.1,1642.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,66.8,1750.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,54.5,1630.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,69.1,1892.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,68.4,1762.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,63.8,1742.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,65.5,1735.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,88,1900.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,73.6,1710.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,46.8,1562.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,64.5,1725.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,63,1677.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,55.7,1635.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,60.6,1772.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,57.9,1720.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,64.7,1760.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,73.8,1655.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,77,1795.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,80.9,1910.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,75.7,1855.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,67.8,1740.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,62.1,1780.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,58.8,1700.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,71.7,1832.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,52.3,1712.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,56.4,1675.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,77.1,1875.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,53.7,1617.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,61.8,1735.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,83,1717.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,71.4,1805.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,71.4,1807.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,68.5,1767.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,77.4,1802.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,69.1,1775.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,56.7,1602.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,69.2,1830.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,67.7,1747.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,68.2,1642.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,79.6,1827.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,69.1,1690.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,66.2,1677.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,59.5,1660.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,49.7,1690.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,57.6,1755.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,57.5,1682.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,62.9,1745.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,73.8,1750.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,81.6,1725.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,52.8,1655.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,84.3,1825.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,88.4,1750.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,59.2,1627.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,56.5,1560.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,57.9,1632.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,66.6,1697.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,66.2,1790.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,65.6,1772.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,58.1,1665.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,53.3,1630.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,67.5,1665.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,70.8,1682.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,68.6,1822.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,66.1,1697.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,72.9,1807.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,68.5,1747.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,73.1,1752.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,66.8,1695.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,75.6,1852.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,71.7,1770.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,63.4,1640.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,76.2,1840.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,58.5,1692.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,71.9,1790.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,67.3,1697.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,57.3,1612.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,63.4,1685.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,65.8,1712.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,53.7,1682.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,67.5,1842.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,62.7,1685.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,59.9,1595.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,71.5,1780.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,66,1807.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,79.9,1770.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,65.8,1697.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,57.7,1680.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,77,1735.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,76.7,1735.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,71.8,1752.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,68.4,1717.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,64.3,1762.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,73.6,1835.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,77.8,1840.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,64.9,1727.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,63.4,1722.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,88.9,1890.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,53.2,1615.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,52.1,1677.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,55.8,1650.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,60.6,1657.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,72.4,1772.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,72.1,1765.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,63.5,1795.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,50.7,1610.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,62.2,1690.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,64.2,1815.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,67.5,1802.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,65.8,1775.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,65.5,1865.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,73.8,1807.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,51.1,1700.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,67.6,1795.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,61.4,1737.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,51.5,1615.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,68,1762.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,58,1562.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,62.6,1690.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,59.4,1640.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,48.2,1565.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,70.6,1752.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,62.2,1705.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,55.8,1605.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,57.8,1700.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,55.5,1635.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,56.2,1690.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,59.2,1607.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,51,1685.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,63.5,1780.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,60.1,1605.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,58,1637.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,53.6,1590.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,63.6,1755.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,49.9,1600.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,56.4,1620.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,65.1,1695.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,63.1,1662.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,53.9,1650.00
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171339",Fanciulli 4,Italy,M,82.5,
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171340",Fanciulli 5,Italy,F,52.1,
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171341",Chancelade 1,France,M,67.3744,1598
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171342",Oberkassel 1,Germany,M,75.0856,1748
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171343",Oberkassel 2,Germany,F,58.756,1465
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171344",Cap Blanc 1,France,F,59.4364,1608
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171345",Gough's Cave 1,England,M,70.096,1680
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171346",Mirón 1,Spain,F,56.9416,1606.724767
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171347",Minatogawa 1,Japan,M,63.292,1529
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171348",Minatogawa 2,Japan,F,48.55,1448
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171349",Minatogawa 3,Japan,F,50.818,1493
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171350",Minatogawa 4,Japan,F,47.416,1477
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171351",Minatogawa Q,Japan,,,1621.0415
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171352",Zhoukoudian-UC 105,China,,71.8,
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171353",Zhoukoudian-UC 117,China,,59,
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171354",Kubbaniya 1,Egypt,,71.8,
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171355",Mittlere Klause 1,Germany,,72,
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171356",Ohalo 2,Israel,M,74.8588,1750
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171357",Paglicci 25,Italy,F,61.7044,1704
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171358",Veneri 1,Italy,M,77.1268,1771
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171359",Veneri 2,Italy,F,74.1784,1732
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171360",Barma Grande 2,Italy,M,82.3432,1888
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171361",Caviglione 1,Italy,F,68.0548,1751
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171362",Předmostí 1,Czech Republic,F,56.488,1537
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171363",Předmostí 3,Czech Republic,M,70.096,1820
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171364",Předmostí 4,Czech Republic,F,70.5496,1682
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171365",Předmostí 9,Czech Republic,M,58.756,1699
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171366",Předmostí 10,Czech Republic,F,71.9104,1634
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171367",Předmostí 14,Czech Republic,M,68.5084,1736
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171368",Dolní Vĕstonice 3,Czech Republic,F,55.8076,1634
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171369",Dolní Vĕstonice 13,Czech Republic,M,71.23,1716
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171370",Dolní Vĕstonice 14,Czech Republic,M,79.3948,1850
