Measure,Control,Condition,Group,Type,Model,ClimbF,ClimbF.L,ClimbF.U,ClimbM,ClimbM.L,ClimbM.U,RunF,RunF.L,RunF.U,RunM,RunM.L,RunM.U,SprintF,SprintF.L,SprintF.U,SprintM,SprintM.L,SprintM.U,WalkF,WalkF.L,WalkF.U,WalkM,WalkM.L,WalkM.U
Femur,,Femur,Lower,Absolute,Model2,0.069,-0.234,0.451,-0.078,-0.412,0.157,0.153,-0.108,0.560,0.002,-0.412,0.157,0.069,-0.195,0.399,-0.021,-0.302,0.235,0.181,-0.100,0.639,0.060,-0.201,0.433
Femur,Stature,Femur [Stature],Lower,Relative,Model2,0.087,-0.171,0.418,0.281,-0.019,0.600,0.188,-0.044,0.533,0.427,-0.019,0.600,-0.029,-0.289,0.197,0.038,-0.253,0.334,0.065,-0.176,0.357,0.525,0.069,0.961
Tibia,,Tibia,Lower,Absolute,Model2,0.007,-0.416,0.424,-0.172,-0.599,0.108,-0.062,-0.446,0.278,-0.075,-0.599,0.108,0.291,-0.064,0.746,0.081,-0.216,0.461,0.280,-0.082,0.772,-0.030,-0.404,0.314
Tibia,Stature,Tibia [Stature],Lower,Relative,Model2,0.026,-0.182,0.257,0.081,-0.096,0.322,-0.044,-0.265,0.129,0.150,-0.096,0.322,0.104,-0.066,0.352,0.110,-0.072,0.382,0.061,-0.124,0.300,0.130,-0.072,0.443
Tibia,Femur,Tibia [Femur],Lower,Relative,Model2,-0.091,-0.480,0.270,-0.138,-0.408,0.080,-0.306,-0.646,0.019,-0.118,-0.408,0.080,0.338,0.009,0.674,0.158,-0.095,0.475,0.147,-0.177,0.501,-0.168,-0.514,0.093
Arm,,Arm,Upper,Absolute,Model2,0.114,-0.188,0.517,0.037,-0.203,0.329,0.155,-0.113,0.557,-0.006,-0.203,0.329,0.209,-0.066,0.644,0.067,-0.161,0.390,0.193,-0.097,0.642,-0.011,-0.316,0.272
Arm,Stature,Arm [Stature],Upper,Relative,Model2,0.179,-0.055,0.509,0.571,0.222,0.901,0.228,-0.013,0.534,0.383,0.222,0.901,0.131,-0.067,0.390,0.260,-0.022,0.563,0.074,-0.143,0.328,0.224,-0.095,0.557
Arm,Leg,Arm [Leg],Upper,Relative,Model2,0.077,-0.100,0.331,0.281,-0.002,0.603,0.105,-0.054,0.354,0.091,-0.002,0.603,0.099,-0.056,0.336,0.204,-0.034,0.490,0.078,-0.087,0.316,-0.002,-0.299,0.276
Humerus,,Humerus,Upper,Absolute,Model2,0.076,-0.194,0.447,0.062,-0.157,0.367,0.069,-0.179,0.394,0.023,-0.157,0.367,0.095,-0.136,0.435,0.037,-0.188,0.315,0.128,-0.120,0.536,0.045,-0.201,0.363
Humerus,Stature,Humerus [Stature],Upper,Relative,Model2,0.071,-0.141,0.382,0.321,-0.015,0.764,0.061,-0.137,0.339,0.208,-0.015,0.764,0.033,-0.170,0.274,0.159,-0.109,0.504,0.031,-0.183,0.283,0.212,-0.095,0.641
Humerus,Femur,Humerus [Femur],Upper,Relative,Model2,0.048,-0.191,0.353,0.134,-0.084,0.486,0.004,-0.234,0.245,0.028,-0.084,0.486,0.066,-0.140,0.353,0.058,-0.168,0.345,0.050,-0.177,0.344,0.021,-0.256,0.309
ForearmL,,ForearmL,Upper,Absolute,Model2,0.134,-0.139,0.536,-0.079,-0.420,0.157,0.189,-0.069,0.595,-0.083,-0.420,0.157,0.152,-0.096,0.521,0.004,-0.270,0.289,0.166,-0.096,0.568,-0.078,-0.457,0.184
ForearmL,Stature,ForearmL [Stature],Upper,Relative,Model2,0.215,-0.060,0.590,0.107,-0.078,0.405,0.280,-0.009,0.631,0.073,-0.078,0.405,0.099,-0.127,0.364,0.019,-0.194,0.249,0.077,-0.169,0.362,0.026,-0.199,0.280
ForearmL,Humerus,ForearmL [Humerus],Upper,Relative,Model2,0.089,-0.142,0.420,-0.152,-0.513,0.082,0.143,-0.066,0.481,-0.128,-0.513,0.082,0.083,-0.121,0.365,-0.030,-0.337,0.256,0.089,-0.132,0.397,-0.141,-0.560,0.122
FootL,,FootL,Extremities,Absolute,Model2,0.025,-0.325,0.393,-0.119,-0.501,0.167,-0.080,-0.449,0.210,-0.107,-0.501,0.167,0.144,-0.130,0.533,0.132,-0.166,0.533,0.158,-0.141,0.605,0.099,-0.243,0.546
FootL,Stature,FootL [Stature],Extremities,Relative,Model2,0.042,-0.197,0.343,0.039,-0.244,0.344,-0.055,-0.329,0.152,0.028,-0.244,0.344,0.060,-0.143,0.333,0.228,-0.062,0.650,0.048,-0.175,0.326,0.218,-0.097,0.717
FootB,,FootB,Extremities,Absolute,Model2,0.123,-0.140,0.524,-0.339,-0.806,0.059,0.154,-0.088,0.545,-0.063,-0.806,0.059,0.102,-0.144,0.448,0.189,-0.177,0.609,0.141,-0.121,0.550,0.359,-0.117,0.956
